skill_name,prior,learns,guesses,slips,forgets
Variables and Operations,0.1157925635,0.1491700996,0.0871180595,0.2259290991,0.937432766
Boolean Expressions,0.2982654947,0.1752868087,0.252995469,0.0583574565,0.4639269427
Strings,0.0856851933,0.0300899504,0.2365933209,0.1547470528,0.5753551104
If-Else,0.3934755512,0.111091838,0.2650334463,0.0102016941,0.9064590698
While Loops,0.0702884711,0.0001691861,0.165130736,0.2546982522,0.0002724628
For Loops,0.7205718905,0.0526456923,0.3298610041,0.002633792,0.6162868084
Objects and Classes,0.1293587241,0.6895984911,6.53e-08,0.6349622038,0.9999928179
Nested Loops,0.4438964052,0.1469404621,0.0004743281,0.0631584803,0.5747262263
Inheritance,0.185708575,0.149532732,4.8026e-06,0.3399533695,0.0274123401
ArrayLists,0.0893162864,0.3344859946,0.044807545,0.0573443888,0.9436701101
Arrays,0.5489600555,0.0005689293,0.0522354649,0.2749496884,0.0849855467
Two-Dimensional Arrays,0.3063153167,0.0006350545,0.1728078917,0.118807289,0.4627755442
Exception handling,0.7989767904,0.0920408401,0.0,0.6629276562,0.9996337108
File processing,0.2084112538,0.4579872909,0.0940362461,0.3574843694,0.1508200577
