skill_name,prior,learns,guesses,slips,forgets
Variables and Operations,0.1885502059,0.0019406229,0.115696449,0.3231287189,0.0026014624
Strings,1.819e-07,0.2521366397,0.0955652433,0.3682411044,0.0018308354
If-Else,0.7360177914,0.1249567567,8.563e-07,0.3028870137,0.0058409102
Arrays,0.6665434955,1.1615e-06,0.0001153311,6.687e-06,0.50004954
While Loops,0.7611046402,0.2890000609,0.4000746775,0.1517480703,0.7161852705
Boolean Expressions,0.0192018799,0.9867996979,0.3688386165,0.1111498665,0.4089065203
Objects and Classes,0.0,0.2001613186,6.7168e-06,0.0007420707,0.0003225119
Two-Dimensional Arrays,1.0,0.0001339119,0.007227857,8.2967e-06,0.5070665624
File processing,0.0428362229,0.1510812596,0.0,1.0,0.7896422072
Exception handling,0.1164867176,0.0435769311,0.0,1.0,0.8086688738
ArrayLists,0.0448894908,0.3006740331,0.0,1.0,0.4941296696
Inheritance,0.1903101907,0.0863414015,0.0,1.0,0.6767433449
For Loops,2.137726935e-27,0.6253291287,0.1253236832,0.002372746,0.9999732049
Nested Loops,0.4998946032,0.0013243485,0.0003349903,0.0004675106,0.2321722872
