skill,param,class,value
Variables and Operations,prior,default,0.13096205750476766
Variables and Operations,learns,BmiCalculator2,0.07053125859265522
Variables and Operations,learns,DisplayTime2,0.06884247596669914
Variables and Operations,learns,FahrenheitToCelsius,0.0877222105751308
Variables and Operations,learns,JDecInc2,0.078888342310173
Variables and Operations,learns,JDecInc3,0.06284128342394724
Variables and Operations,learns,PythagoreanTheorem2,0.05543227244823958
Variables and Operations,learns,VendingMachine2,0.041228936181512646
Variables and Operations,guesses,BmiCalculator2,0.22307501472510724
Variables and Operations,guesses,DisplayTime2,0.0
Variables and Operations,guesses,FahrenheitToCelsius,0.09075362997261019
Variables and Operations,guesses,JDecInc2,0.1488697740193857
Variables and Operations,guesses,JDecInc3,0.14255287306669123
Variables and Operations,guesses,PythagoreanTheorem2,0.15866281433042112
Variables and Operations,guesses,VendingMachine2,0.1243265050844347
Variables and Operations,slips,BmiCalculator2,0.2981758127685023
Variables and Operations,slips,DisplayTime2,1.0
Variables and Operations,slips,FahrenheitToCelsius,0.4595785942865289
Variables and Operations,slips,JDecInc2,0.1884620629579411
Variables and Operations,slips,JDecInc3,0.17975724755187794
Variables and Operations,slips,PythagoreanTheorem2,0.41261645088090787
Variables and Operations,slips,VendingMachine2,0.1763860695438859
Variables and Operations,forgets,BmiCalculator2,0.20367820767222367
Variables and Operations,forgets,DisplayTime2,0.07270477312641357
Variables and Operations,forgets,FahrenheitToCelsius,0.15967280173521733
Variables and Operations,forgets,JDecInc2,0.12409947455544865
Variables and Operations,forgets,JDecInc3,0.10317660910056284
Variables and Operations,forgets,PythagoreanTheorem2,0.13749382713346053
Variables and Operations,forgets,VendingMachine2,0.16627068082482352
Strings,prior,default,0.23029586444640943
Strings,learns,Initials2,0.22457215389099752
Strings,learns,Initials3,0.24884119302026964
Strings,learns,JCharAt2,0.21967518083204363
Strings,learns,JEscapeChar2,0.21666997223479476
Strings,learns,JEscapeChar3,0.28337846567108993
Strings,learns,JStringEqual2,0.1884531199061411
Strings,learns,StringAddition2,0.25124869616607026
Strings,guesses,Initials2,0.18711357251531907
Strings,guesses,Initials3,0.6523253789156418
Strings,guesses,JCharAt2,0.3159107593920627
Strings,guesses,JEscapeChar2,0.42221970631697664
Strings,guesses,JEscapeChar3,0.0
Strings,guesses,JStringEqual2,0.3325386941666077
Strings,guesses,StringAddition2,0.10999258945272213
Strings,slips,Initials2,0.6481557679058844
Strings,slips,Initials3,0.13200752183134057
