skill,param,class,value
Variables and Operations,prior,default,0.2384277276786032
Variables and Operations,learns,norway22101,0.0013972585797919791
Variables and Operations,learns,norway22102,0.0013972585797919791
Variables and Operations,learns,norway22104,0.0013972585797919791
Variables and Operations,learns,norway22105,0.0013972585797919791
Variables and Operations,learns,norway22107,0.0013972585797919791
Variables and Operations,learns,norway22109,0.0013972585797919791
Variables and Operations,learns,norway22110,0.0013972585797919791
Variables and Operations,learns,norway22112,0.0013972585797919794
Variables and Operations,learns,norway22114,0.0013972585797919791
Variables and Operations,learns,norway22127,0.0013972585797919794
Variables and Operations,learns,norway22131,0.0013972585797919794
Variables and Operations,learns,norway22132,0.0013972585797919791
Variables and Operations,learns,norway22137,0.0013972585797919791
Variables and Operations,learns,norway22142,0.0013972585797919791
Variables and Operations,learns,norway22149,0.0013972585797919791
Variables and Operations,learns,norway22150,0.0013972585797919791
Variables and Operations,learns,norway22160,0.0013972585797919791
Variables and Operations,guesses,norway22101,0.0
Variables and Operations,guesses,norway22102,0.210165662517925
Variables and Operations,guesses,norway22104,0.2952837332173552
Variables and Operations,guesses,norway22105,0.11285024224381275
Variables and Operations,guesses,norway22107,0.739180138870846
Variables and Operations,guesses,norway22109,0.0
Variables and Operations,guesses,norway22110,0.0
Variables and Operations,guesses,norway22112,0.0
Variables and Operations,guesses,norway22114,0.7040609820813559
Variables and Operations,guesses,norway22127,0.566234800272154
Variables and Operations,guesses,norway22131,0.0
Variables and Operations,guesses,norway22132,0.0
Variables and Operations,guesses,norway22137,0.21016598083314605
Variables and Operations,guesses,norway22142,0.6374675170043872
Variables and Operations,guesses,norway22149,0.1736527145420969
Variables and Operations,guesses,norway22150,0.14795738781292614
Variables and Operations,guesses,norway22160,0.0
Variables and Operations,slips,norway22101,1.0
Variables and Operations,slips,norway22102,0.9942671013105617
Variables and Operations,slips,norway22104,0.9710853603119906
Variables and Operations,slips,norway22105,0.05189663437219343
Variables and Operations,slips,norway22107,0.953765332489882
Variables and Operations,slips,norway22109,1.0
Variables and Operations,slips,norway22110,1.0
Variables and Operations,slips,norway22112,1.0
Variables and Operations,slips,norway22114,0.01132983353452284
Variables and Operations,slips,norway22127,0.9760615227379918
Variables and Operations,slips,norway22131,1.0
Variables and Operations,slips,norway22132,1.0
Variables and Operations,slips,norway22137,0.9942731843548466
Variables and Operations,slips,norway22142,0.006129037288528555
Variables and Operations,slips,norway22149,0.9939756991045536
Variables and Operations,slips,norway22150,0.9940098078077041
Variables and Operations,slips,norway22160,1.0
Variables and Operations,forgets,norway22101,0.9799374614418357
Variables and Operations,forgets,norway22102,0.9799374614418358
Variables and Operations,forgets,norway22104,0.9799374614418357
Variables and Operations,forgets,norway22105,0.9799374614418357
Variables and Operations,forgets,norway22107,0.9799374614418357
Variables and Operations,forgets,norway22109,0.9799374614418358
Variables and Operations,forgets,norway22110,0.9799374614418358
Variables and Operations,forgets,norway22112,0.9799374614418358
Variables and Operations,forgets,norway22114,0.9799374614418357
Variables and Operations,forgets,norway22127,0.9799374614418358
Variables and Operations,forgets,norway22131,0.9799374614418358
Variables and Operations,forgets,norway22132,0.9799374614418358
Variables and Operations,forgets,norway22137,0.9799374614418358
Variables and Operations,forgets,norway22142,0.9799374614418358
Variables and Operations,forgets,norway22149,0.9799374614418358
Variables and Operations,forgets,norway22150,0.9799374614418357
Variables and Operations,forgets,norway22160,0.9799374614418358
Strings,prior,default,0.21909365690045424
Strings,learns,norway22101,0.31607031718780343
Strings,learns,norway22104,0.3160703171878034
Strings,learns,norway22107,0.3160703171878034
Strings,learns,norway22114,0.3160703171878034
Strings,learns,norway22127,0.3160703171878034
Strings,learns,norway22131,0.31607031718780343
Strings,learns,norway22137,0.31607031718780343
Strings,learns,norway22138,0.3160703171878034
Strings,learns,norway22149,0.3160703171878034
Strings,learns,norway22150,0.3160703171878034
Strings,guesses,norway22101,0.0
Strings,guesses,norway22104,0.5487907950114215
Strings,guesses,norway22107,0.5828504278754651
Strings,guesses,norway22114,0.5487907950114215
Strings,guesses,norway22127,0.31444367648396016
Strings,guesses,norway22131,0.0
Strings,guesses,norway22137,0.0
Strings,guesses,norway22138,0.0
Strings,guesses,norway22149,0.0
