skill,param,class,value
Variables and Operations,prior,default,0.0778157812119081
Variables and Operations,learns,BmiCalculator2,0.040068305153692314
Variables and Operations,learns,DisplayTime2,0.0468757978990155
Variables and Operations,learns,FahrenheitToCelsius,0.03635290609495786
Variables and Operations,learns,JDecInc2,0.03829954191783046
Variables and Operations,learns,JDecInc3,0.04499594030807329
Variables and Operations,learns,PythagoreanTheorem2,0.04960030420204623
Variables and Operations,learns,VendingMachine2,0.051182089022748026
Variables and Operations,guesses,BmiCalculator2,0.16453697589074623
Variables and Operations,guesses,DisplayTime2,0.026113840876414274
Variables and Operations,guesses,FahrenheitToCelsius,0.1513282950783622
Variables and Operations,guesses,JDecInc2,0.1529200205456571
Variables and Operations,guesses,JDecInc3,0.18389114088833894
Variables and Operations,guesses,PythagoreanTheorem2,0.12660083030138483
Variables and Operations,guesses,VendingMachine2,0.14368911209519378
Variables and Operations,slips,BmiCalculator2,0.6178216349097444
Variables and Operations,slips,DisplayTime2,0.7378314717291029
Variables and Operations,slips,FahrenheitToCelsius,0.5274091214017448
Variables and Operations,slips,JDecInc2,0.40503664161190983
Variables and Operations,slips,JDecInc3,0.6270875982238626
Variables and Operations,slips,PythagoreanTheorem2,0.6349814049497938
Variables and Operations,slips,VendingMachine2,0.6276590560406985
Variables and Operations,forgets,BmiCalculator2,0.0
Variables and Operations,forgets,DisplayTime2,0.0
Variables and Operations,forgets,FahrenheitToCelsius,0.0
Variables and Operations,forgets,JDecInc2,0.0
Variables and Operations,forgets,JDecInc3,0.0
Variables and Operations,forgets,PythagoreanTheorem2,0.0
Variables and Operations,forgets,VendingMachine2,0.0
Boolean Expressions,prior,default,0.011279939083312854
Boolean Expressions,learns,JBooleanDryHot2,1.719950980737972e-05
Boolean Expressions,learns,JBooleanDryHot3,4.758841304374898e-18
Boolean Expressions,learns,JBooleanDryHot4,1.2191469467312723e-17
Boolean Expressions,learns,JFailCourse2,7.533686017499391e-05
Boolean Expressions,learns,JFailCourse3,5.6417230460250905e-05
Boolean Expressions,learns,JPhoneAge2,4.437528393841781e-05
Boolean Expressions,learns,JRentCar2,3.599782331769597e-05
Boolean Expressions,learns,JRentCar3,2.488276104614002e-05
