skill,param,class,value
Variables and Operations,prior,default,0.9398319544647423
Variables and Operations,learns,BmiCalculator2,0.14171668876207905
Variables and Operations,learns,DisplayTime2,0.16978805610110484
Variables and Operations,learns,FahrenheitToCelsius,0.11073490189037721
Variables and Operations,learns,JDecInc2,0.3051359419448
Variables and Operations,learns,JDecInc3,0.23034438724588818
Variables and Operations,learns,PythagoreanTheorem2,0.16994440409172692
Variables and Operations,learns,VendingMachine2,0.22548620515205153
Variables and Operations,guesses,BmiCalculator2,0.06540656804601473
Variables and Operations,guesses,DisplayTime2,0.015792036932036208
Variables and Operations,guesses,FahrenheitToCelsius,0.0445896800220653
Variables and Operations,guesses,JDecInc2,0.1167221429457117
Variables and Operations,guesses,JDecInc3,0.04114993817040012
Variables and Operations,guesses,PythagoreanTheorem2,0.04302059760146484
Variables and Operations,guesses,VendingMachine2,0.055645190697758015
Variables and Operations,slips,BmiCalculator2,0.31267809765346155
Variables and Operations,slips,DisplayTime2,0.6698966763133629
Variables and Operations,slips,FahrenheitToCelsius,0.424187965279708
Variables and Operations,slips,JDecInc2,0.8054079292388043
Variables and Operations,slips,JDecInc3,0.4724503708576664
Variables and Operations,slips,PythagoreanTheorem2,0.5365402968833155
Variables and Operations,slips,VendingMachine2,0.32518346236136575
Variables and Operations,forgets,BmiCalculator2,0.6700480008888007
Variables and Operations,forgets,DisplayTime2,0.7354614049139222
Variables and Operations,forgets,FahrenheitToCelsius,0.6797685095865884
Variables and Operations,forgets,JDecInc2,0.6859327471668503
Variables and Operations,forgets,JDecInc3,0.6994386533410072
Variables and Operations,forgets,PythagoreanTheorem2,0.645374528456217
Variables and Operations,forgets,VendingMachine2,0.6855696502409473
Boolean Expressions,prior,default,0.2608840999201763
Boolean Expressions,learns,JBooleanDryHot2,0.1279282162139942
Boolean Expressions,learns,JBooleanDryHot3,0.09976110668421344
Boolean Expressions,learns,JBooleanDryHot4,0.10129671549726632
Boolean Expressions,learns,JFailCourse2,0.12946993277281588
Boolean Expressions,learns,JFailCourse3,0.16033592706111144
Boolean Expressions,learns,JPhoneAge2,0.17388105552804461
Boolean Expressions,learns,JRentCar2,0.05066791914216724
Boolean Expressions,learns,JRentCar3,0.2073369144452969
Boolean Expressions,learns,JThreeBoolean2,0.08318441428394446
Boolean Expressions,learns,JThreeBoolean3,0.16774196461041363
Boolean Expressions,guesses,JBooleanDryHot2,0.6086450893599394
Boolean Expressions,guesses,JBooleanDryHot3,0.5282798998596892
Boolean Expressions,guesses,JBooleanDryHot4,0.110576256219225
Boolean Expressions,guesses,JFailCourse2,0.550877236353754
Boolean Expressions,guesses,JFailCourse3,0.28741167520632654
Boolean Expressions,guesses,JPhoneAge2,0.28894738973700174
Boolean Expressions,guesses,JRentCar2,0.6154710584872367
Boolean Expressions,guesses,JRentCar3,0.15032800560823653
Boolean Expressions,guesses,JThreeBoolean2,0.2031054942192637
Boolean Expressions,guesses,JThreeBoolean3,0.33550204611911066
Boolean Expressions,slips,JBooleanDryHot2,0.021375569556181487
Boolean Expressions,slips,JBooleanDryHot3,0.03263283685777681
Boolean Expressions,slips,JBooleanDryHot4,0.29053291392393243
Boolean Expressions,slips,JFailCourse2,0.0322784975708641
Boolean Expressions,slips,JFailCourse3,0.07398422084945185
Boolean Expressions,slips,JPhoneAge2,0.09701798559870739
Boolean Expressions,slips,JRentCar2,0.01920783765463889
Boolean Expressions,slips,JRentCar3,0.187479786350633
Boolean Expressions,slips,JThreeBoolean2,0.15046333850144541
Boolean Expressions,slips,JThreeBoolean3,0.0649895024648758
Boolean Expressions,forgets,JBooleanDryHot2,0.6549403357341993
Boolean Expressions,forgets,JBooleanDryHot3,0.8059892900187838
Boolean Expressions,forgets,JBooleanDryHot4,0.7559006308332595
Boolean Expressions,forgets,JFailCourse2,0.686531553196427
Boolean Expressions,forgets,JFailCourse3,0.5361772799804853
Boolean Expressions,forgets,JPhoneAge2,0.6273289648889343
Boolean Expressions,forgets,JRentCar2,0.8183126901357273
Boolean Expressions,forgets,JRentCar3,0.50360540967198
Boolean Expressions,forgets,JThreeBoolean2,0.8385919376649357
Boolean Expressions,forgets,JThreeBoolean3,0.7452566808102978
Strings,prior,default,0.5148528006297689
Strings,learns,Initials2,0.2731489405012373
Strings,learns,Initials3,0.38784018140728493
Strings,learns,JCharAt2,0.2296734387790182
Strings,learns,JEscapeChar2,0.16198305277819916
Strings,learns,JEscapeChar3,0.3142133014994216
Strings,learns,JStringEqual2,0.31948098606309894
Strings,learns,StringAddition2,0.3321765116924817
Strings,guesses,Initials2,0.009435097254805395
Strings,guesses,Initials3,0.02424109433981537
Strings,guesses,JCharAt2,0.09866550119780204
Strings,guesses,JEscapeChar2,0.030403260656027352
Strings,guesses,JEscapeChar3,0.004078940772674034
Strings,guesses,JStringEqual2,0.013506813768129355
Strings,guesses,StringAddition2,0.019648913130000622
Strings,slips,Initials2,0.6174795752829636
Strings,slips,Initials3,0.4841569742562699
Strings,slips,JCharAt2,0.10037841261456906
Strings,slips,JEscapeChar2,0.3283832166722987
Strings,slips,JEscapeChar3,0.8587004365580077
Strings,slips,JStringEqual2,0.47290198027153846
