skill,param,class,value
Variables and Operations,prior,default,0.4168463830024975
Variables and Operations,learns,norway22103,0.952272102590045
Variables and Operations,learns,norway22113,0.5224705515857672
Variables and Operations,learns,norway22115,0.5031178197216433
Variables and Operations,learns,norway22116,0.7408480272368643
Variables and Operations,learns,norway22117,0.5713069626441292
Variables and Operations,learns,norway22118,0.9730468001024138
Variables and Operations,learns,norway22120,0.5335907382991546
Variables and Operations,learns,norway22121,0.5208590620072243
Variables and Operations,learns,norway22125,0.507404519845013
Variables and Operations,learns,norway22126,0.974500734421138
Variables and Operations,learns,norway22128,0.5738414396327389
Variables and Operations,learns,norway22130,0.9745292388266765
Variables and Operations,learns,norway22133,0.9513728959004853
Variables and Operations,learns,norway22134,0.9721899883667056
Variables and Operations,learns,norway22135,0.5404026733744298
Variables and Operations,learns,norway22139,0.5271294721848846
Variables and Operations,learns,norway22140,0.9143453066140195
Variables and Operations,learns,norway22141,0.774202317031483
Variables and Operations,learns,norway22144,0.7271130052439008
Variables and Operations,learns,norway22145,0.936048284011715
Variables and Operations,learns,norway22147,0.6316525160288545
Variables and Operations,learns,norway22148,0.9745306223222391
Variables and Operations,learns,norway22151,0.7260642726016835
Variables and Operations,learns,norway22152,0.5413871524307945
Variables and Operations,learns,norway22153,0.5032700466884109
Variables and Operations,learns,norway22155,0.4986857583647558
Variables and Operations,learns,norway22156,0.63180235894405
Variables and Operations,learns,norway22157,0.6316714211903129
Variables and Operations,learns,norway22158,0.6277364108658998
Variables and Operations,learns,norway22161,0.5137096879294704
Variables and Operations,learns,norway22165,0.7352158249618564
Variables and Operations,learns,norway22166,0.7409984702978327
Variables and Operations,learns,norway22167,0.511741778675404
Variables and Operations,learns,norway22168,0.9467967344808083
Variables and Operations,learns,norway22172,0.9467967344808083
Variables and Operations,learns,norway22173,0.7413485047780383
Variables and Operations,learns,norway22176,0.4979558365661724
Variables and Operations,learns,norway22178,0.9133761773167887
Variables and Operations,learns,norway22179,0.5417961744808082
Variables and Operations,learns,norway22181,0.7266829754155959
Variables and Operations,learns,norway22182,0.7293434435001586
Variables and Operations,guesses,BmiCalculator2,0.0012681707743231474
Variables and Operations,guesses,DisplayTime2,4.19239471096012e-05
Variables and Operations,guesses,FahrenheitToCelsius,0.04965001325336972
Variables and Operations,guesses,JDecInc2,0.04569259140861982
Variables and Operations,guesses,JDecInc3,0.06000270312366868
Variables and Operations,guesses,PythagoreanTheorem2,0.06940754026512017
Variables and Operations,guesses,VendingMachine2,0.01284565979178941
Variables and Operations,guesses,compute_average,0.031320558229654974
Variables and Operations,guesses,days_to_week_conversion,0.9874491563740723
Variables and Operations,guesses,percentage_correctness,0.02870199761363624
Variables and Operations,guesses,rectangle_perimeter,0.033464367535842955
Variables and Operations,guesses,second_in_days,0.1310602476131642
Variables and Operations,slips,BmiCalculator2,0.7813063327936387
Variables and Operations,slips,DisplayTime2,0.9294914512760297
Variables and Operations,slips,FahrenheitToCelsius,0.7857395176393525
Variables and Operations,slips,JDecInc2,0.6930288682872917
Variables and Operations,slips,JDecInc3,0.7748549342897163
Variables and Operations,slips,PythagoreanTheorem2,0.807224969449138
Variables and Operations,slips,VendingMachine2,0.8027984383330321
Variables and Operations,slips,compute_average,0.5896074879206684
Variables and Operations,slips,days_to_week_conversion,0.5094551952949848
Variables and Operations,slips,percentage_correctness,0.8211916344886385
Variables and Operations,slips,rectangle_perimeter,0.48956329971016393
Variables and Operations,slips,second_in_days,0.6008287965754988
Variables and Operations,forgets,norway22103,0.0
Variables and Operations,forgets,norway22113,0.0
Variables and Operations,forgets,norway22115,0.0
Variables and Operations,forgets,norway22116,0.0
Variables and Operations,forgets,norway22117,0.0
Variables and Operations,forgets,norway22118,0.0
Variables and Operations,forgets,norway22120,0.0
Variables and Operations,forgets,norway22121,0.0
Variables and Operations,forgets,norway22125,0.0
Variables and Operations,forgets,norway22126,0.0
Variables and Operations,forgets,norway22128,0.0
Variables and Operations,forgets,norway22130,0.0
Variables and Operations,forgets,norway22133,0.0
Variables and Operations,forgets,norway22134,0.0
Variables and Operations,forgets,norway22135,0.0
Variables and Operations,forgets,norway22139,0.0
Variables and Operations,forgets,norway22140,0.0
Variables and Operations,forgets,norway22141,0.0
Variables and Operations,forgets,norway22144,0.0
Variables and Operations,forgets,norway22145,0.0
Variables and Operations,forgets,norway22147,0.0
Variables and Operations,forgets,norway22148,0.0
Variables and Operations,forgets,norway22151,0.0
Variables and Operations,forgets,norway22152,0.0
Variables and Operations,forgets,norway22153,0.0
Variables and Operations,forgets,norway22155,0.0
Variables and Operations,forgets,norway22156,0.0
Variables and Operations,forgets,norway22157,0.0
Variables and Operations,forgets,norway22158,0.0
Variables and Operations,forgets,norway22161,0.0
Variables and Operations,forgets,norway22165,0.0
Variables and Operations,forgets,norway22166,0.0
Variables and Operations,forgets,norway22167,0.0
Variables and Operations,forgets,norway22168,0.0
Variables and Operations,forgets,norway22172,0.0
Variables and Operations,forgets,norway22173,0.0
Variables and Operations,forgets,norway22176,0.0
Variables and Operations,forgets,norway22178,0.0
Variables and Operations,forgets,norway22179,0.0
Variables and Operations,forgets,norway22181,0.0
Variables and Operations,forgets,norway22182,0.0
Boolean Expressions,prior,default,0.2216369788059407
Boolean Expressions,learns,norway22103,0.19518803381230693
Boolean Expressions,learns,norway22113,0.02476818378457168
Boolean Expressions,learns,norway22115,0.024042057759933805
Boolean Expressions,learns,norway22116,0.06555337747685125
Boolean Expressions,learns,norway22117,0.019564721409660583
Boolean Expressions,learns,norway22118,0.017167194456965056
Boolean Expressions,learns,norway22120,0.4172331177274373
Boolean Expressions,learns,norway22121,0.0708810461807298
Boolean Expressions,learns,norway22126,0.10483984077995695
Boolean Expressions,learns,norway22128,0.056926223146519704
Boolean Expressions,learns,norway22130,0.1581850146474987
Boolean Expressions,learns,norway22135,0.008847698390879137
Boolean Expressions,learns,norway22139,0.2845143966963855
Boolean Expressions,learns,norway22141,0.47312793953056653
Boolean Expressions,learns,norway22144,0.05888822234933154
Boolean Expressions,learns,norway22145,0.13654063046173795
Boolean Expressions,learns,norway22148,0.20806049302291307
Boolean Expressions,learns,norway22154,0.026133767439791802
Boolean Expressions,learns,norway22155,0.04046112933572341
Boolean Expressions,learns,norway22158,0.019474727673824556
Boolean Expressions,learns,norway22165,0.10683077480460255
Boolean Expressions,learns,norway22166,0.4172331177274373
