skill,param,class,value
Variables and Operations,prior,default,0.911662785153732
Variables and Operations,learns,norway22103,0.8658570825467264
Variables and Operations,learns,norway22113,0.8247314754632782
Variables and Operations,learns,norway22115,0.8099698442135232
Variables and Operations,learns,norway22116,0.8394547301495368
Variables and Operations,learns,norway22117,0.8122859838115404
Variables and Operations,learns,norway22118,0.8805951959943918
Variables and Operations,learns,norway22120,0.8109052116704547
Variables and Operations,learns,norway22121,0.7953394953163487
Variables and Operations,learns,norway22125,0.8114593078112567
Variables and Operations,learns,norway22126,0.8990664354336848
Variables and Operations,learns,norway22128,0.8188169963125227
Variables and Operations,learns,norway22130,0.8639711312771249
Variables and Operations,learns,norway22133,0.8689771937598365
Variables and Operations,learns,norway22134,0.8307871466619209
Variables and Operations,learns,norway22135,0.8055928794732394
Variables and Operations,learns,norway22139,0.8102471233897737
Variables and Operations,learns,norway22140,0.8628446875337203
Variables and Operations,learns,norway22141,0.8787103532057614
Variables and Operations,learns,norway22144,0.8031087148492595
Variables and Operations,learns,norway22145,0.8739848290273526
Variables and Operations,learns,norway22147,0.8134319416413197
Variables and Operations,learns,norway22148,0.8634079280795302
Variables and Operations,learns,norway22151,0.8175858294725747
Variables and Operations,learns,norway22152,0.8319511441935046
Variables and Operations,learns,norway22153,0.7926613222780932
Variables and Operations,learns,norway22155,0.8137008906453044
Variables and Operations,learns,norway22156,0.8344154074330784
Variables and Operations,learns,norway22157,0.8361813209346376
Variables and Operations,learns,norway22158,0.8218540787627323
Variables and Operations,learns,norway22161,0.7932138080632096
Variables and Operations,learns,norway22165,0.8573439463252105
Variables and Operations,learns,norway22166,0.8359836378592261
Variables and Operations,learns,norway22167,0.815224182272844
Variables and Operations,learns,norway22168,0.9031404287081497
Variables and Operations,learns,norway22172,0.9031404287081497
Variables and Operations,learns,norway22173,0.8288216198766232
Variables and Operations,learns,norway22176,0.8078830981790304
Variables and Operations,learns,norway22178,0.8609957740657855
Variables and Operations,learns,norway22179,0.7952944625224169
Variables and Operations,learns,norway22181,0.8257655786290764
Variables and Operations,learns,norway22182,0.8432147543189706
Variables and Operations,guesses,Challenges,0.08019408224416495
Variables and Operations,guesses,Coding,0.15621694030046612
Variables and Operations,slips,Challenges,0.8180416026938513
Variables and Operations,slips,Coding,0.6472673131034957
Variables and Operations,forgets,norway22103,0.01205255467615254
Variables and Operations,forgets,norway22113,0.014060712878269627
Variables and Operations,forgets,norway22115,0.013062539954010596
Variables and Operations,forgets,norway22116,0.01275828266866235
Variables and Operations,forgets,norway22117,0.015512846711035918
Variables and Operations,forgets,norway22118,0.011818929801057672
Variables and Operations,forgets,norway22120,0.01323120227125449
Variables and Operations,forgets,norway22121,0.01693842923510866
Variables and Operations,forgets,norway22125,0.012333209824665856
Variables and Operations,forgets,norway22126,0.010108847908391928
Variables and Operations,forgets,norway22128,0.012801096316582366
Variables and Operations,forgets,norway22130,0.011353895202067792
Variables and Operations,forgets,norway22133,0.012366879474684697
Variables and Operations,forgets,norway22134,0.013965279229831996
Variables and Operations,forgets,norway22135,0.01626567992246569
Variables and Operations,forgets,norway22139,0.012735125179840066
Variables and Operations,forgets,norway22140,0.012699663403870097
Variables and Operations,forgets,norway22141,0.007806947185049666
Variables and Operations,forgets,norway22144,0.016685764923221783
Variables and Operations,forgets,norway22145,0.011564329946171726
Variables and Operations,forgets,norway22147,0.014889645645376069
Variables and Operations,forgets,norway22148,0.010243394169803138
Variables and Operations,forgets,norway22151,0.015560544350942436
Variables and Operations,forgets,norway22152,0.012087784124143661
Variables and Operations,forgets,norway22153,0.017477313881543215
Variables and Operations,forgets,norway22155,0.015461067814135058
Variables and Operations,forgets,norway22156,0.009240862994496356
Variables and Operations,forgets,norway22157,0.013366864321777415
Variables and Operations,forgets,norway22158,0.014676176484172472
Variables and Operations,forgets,norway22161,0.01728292346081494
Variables and Operations,forgets,norway22165,0.011268219892822643
Variables and Operations,forgets,norway22166,0.013499678944670452
Variables and Operations,forgets,norway22167,0.014838444267780011
Variables and Operations,forgets,norway22168,0.010572822404567268
Variables and Operations,forgets,norway22172,0.010572822404567268
Variables and Operations,forgets,norway22173,0.012573015100674679
Variables and Operations,forgets,norway22176,0.015821784506466787
Variables and Operations,forgets,norway22178,0.011944099336171278
Variables and Operations,forgets,norway22179,0.016835010561095286
Variables and Operations,forgets,norway22181,0.015025889799928116
Variables and Operations,forgets,norway22182,0.011189433834873131
Boolean Expressions,prior,default,0.9126753816127205
Boolean Expressions,learns,norway22103,0.9926379637444989
Boolean Expressions,learns,norway22113,0.9853438461819256
Boolean Expressions,learns,norway22115,0.9855268553325167
Boolean Expressions,learns,norway22116,0.9857884754937645
Boolean Expressions,learns,norway22117,0.9856847072776586
Boolean Expressions,learns,norway22118,0.98578106667099
Boolean Expressions,learns,norway22120,0.9949879494233361
Boolean Expressions,learns,norway22121,0.9829266454151238
Boolean Expressions,learns,norway22126,0.9905261229251525
Boolean Expressions,learns,norway22128,0.9825541041793991
Boolean Expressions,learns,norway22130,0.9945397066797621
Boolean Expressions,learns,norway22135,0.9831772650356233
Boolean Expressions,learns,norway22139,0.9943780282699483
Boolean Expressions,learns,norway22141,0.9886763568645602
Boolean Expressions,learns,norway22144,0.9898948182547412
Boolean Expressions,learns,norway22145,0.9901897644069552
Boolean Expressions,learns,norway22148,0.9893590268907905
Boolean Expressions,learns,norway22154,0.9843835565847084
Boolean Expressions,learns,norway22155,0.9851804535993308
Boolean Expressions,learns,norway22158,0.9834808161161542
Boolean Expressions,learns,norway22165,0.9895012659554726
Boolean Expressions,learns,norway22166,0.9949879494233361
Boolean Expressions,learns,norway22167,0.9853321230096154
Boolean Expressions,learns,norway22172,0.9886763568645603
Boolean Expressions,learns,norway22173,0.9856840881378935
Boolean Expressions,learns,norway22178,0.9827122248125233
Boolean Expressions,learns,norway22179,0.9851610819996941
Boolean Expressions,learns,norway22181,0.9861001713840134
Boolean Expressions,guesses,Challenges,0.14896260916687862
Boolean Expressions,guesses,Coding,0.04490273776761152
Boolean Expressions,slips,Challenges,0.5388333175484632
Boolean Expressions,slips,Coding,0.8236786314412817
Boolean Expressions,forgets,norway22103,0.023068260869144385
Boolean Expressions,forgets,norway22113,0.03599639021093418
Boolean Expressions,forgets,norway22115,0.037136045144664384
Boolean Expressions,forgets,norway22116,0.035712154893646646
Boolean Expressions,forgets,norway22117,0.038371778121317195
Boolean Expressions,forgets,norway22118,0.03800915499393859
Boolean Expressions,forgets,norway22120,0.018810308839134968
Boolean Expressions,forgets,norway22121,0.04268613705463639
Boolean Expressions,forgets,norway22126,0.024765979409680845
Boolean Expressions,forgets,norway22128,0.04395234866855481
Boolean Expressions,forgets,norway22130,0.022117817586206418
Boolean Expressions,forgets,norway22135,0.04123625938356724
Boolean Expressions,forgets,norway22139,0.02862073703050013
Boolean Expressions,forgets,norway22141,0.028781810704825682
Boolean Expressions,forgets,norway22144,0.025644272229510053
Boolean Expressions,forgets,norway22145,0.017959208015678314
Boolean Expressions,forgets,norway22148,0.027654655270302392
Boolean Expressions,forgets,norway22154,0.038933985802185676
Boolean Expressions,forgets,norway22155,0.03387553308992824
Boolean Expressions,forgets,norway22158,0.04135844078404443
Boolean Expressions,forgets,norway22165,0.02920659150116367
Boolean Expressions,forgets,norway22166,0.018810308839134968
Boolean Expressions,forgets,norway22167,0.0312181278808528
Boolean Expressions,forgets,norway22172,0.028781810704825675
Boolean Expressions,forgets,norway22173,0.031642903511152155
Boolean Expressions,forgets,norway22178,0.04358498052877899
Boolean Expressions,forgets,norway22179,0.027463219156066646
Boolean Expressions,forgets,norway22181,0.03473827674343289
Inheritance,prior,default,0.8111066362686735
Inheritance,learns,norway22103,0.999700528629358
Inheritance,learns,norway22113,0.9957736574839113
Inheritance,learns,norway22115,0.9989506938656477
Inheritance,learns,norway22117,0.9957760555703723
Inheritance,learns,norway22118,0.999700528629358
Inheritance,learns,norway22119,0.9960339384452496
Inheritance,learns,norway22121,0.9963613573755575
Inheritance,learns,norway22126,0.996013635640626
Inheritance,learns,norway22128,0.9957565140374239
Inheritance,learns,norway22130,0.9955524232091261
Inheritance,learns,norway22133,0.9988696100104874
Inheritance,learns,norway22134,0.999700528629358
Inheritance,learns,norway22135,0.9962623051372438
Inheritance,learns,norway22136,0.9963613573755575
Inheritance,learns,norway22139,0.9955769666722206
Inheritance,learns,norway22140,0.9958228793171672
Inheritance,learns,norway22141,0.995733500471253
Inheritance,learns,norway22145,0.9959255197163747
Inheritance,learns,norway22148,0.9959396537246966
Inheritance,learns,norway22151,0.9957096360833789
Inheritance,learns,norway22152,0.9958571882823484
Inheritance,learns,norway22153,0.9973524716999043
Inheritance,learns,norway22154,0.9957096360833789
Inheritance,learns,norway22156,0.9958448004147934
Inheritance,learns,norway22158,0.9963613573755575
Inheritance,learns,norway22159,0.9955685526859793
Inheritance,learns,norway22161,0.9957942136834689
Inheritance,learns,norway22165,0.9981740553647211
Inheritance,learns,norway22167,0.9963613573755575
Inheritance,learns,norway22168,0.9997977439638913
Inheritance,learns,norway22172,0.9957498632790411
Inheritance,learns,norway22173,0.9965377886682248
Inheritance,learns,norway22178,0.9955524232091261
Inheritance,learns,norway22179,0.9993872411996024
Inheritance,learns,norway22182,0.9957776719608076
Inheritance,guesses,Challenges,0.004351386013656542
Inheritance,guesses,Coding,0.015502175132354358
Inheritance,slips,Challenges,0.8101085307734704
Inheritance,slips,Coding,0.6981343821699969
Inheritance,forgets,norway22103,0.010066699462885537
Inheritance,forgets,norway22113,0.019245030169171434
Inheritance,forgets,norway22115,0.017677761040802265
Inheritance,forgets,norway22117,0.019245927158129755
Inheritance,forgets,norway22118,0.010066699462885537
Inheritance,forgets,norway22119,0.0196068247963684
Inheritance,forgets,norway22121,0.01954646661174748
Inheritance,forgets,norway22126,0.017714970332926502
Inheritance,forgets,norway22128,0.021683878330402747
Inheritance,forgets,norway22130,0.021463766203591552
Inheritance,forgets,norway22133,0.018245490263074853
Inheritance,forgets,norway22134,0.010066699462885537
Inheritance,forgets,norway22135,0.017485385249679682
Inheritance,forgets,norway22136,0.01954646661174748
Inheritance,forgets,norway22139,0.022405855948654935
Inheritance,forgets,norway22140,0.012251748993353014
Inheritance,forgets,norway22141,0.015709835481842904
Inheritance,forgets,norway22145,0.020004579750739902
Inheritance,forgets,norway22148,0.021708077139563204
Inheritance,forgets,norway22151,0.013931311916945997
Inheritance,forgets,norway22152,0.014313108326307132
Inheritance,forgets,norway22153,0.01716910205440832
Inheritance,forgets,norway22154,0.013931311916945997
Inheritance,forgets,norway22156,0.013217163735364312
Inheritance,forgets,norway22158,0.01954646661174748
Inheritance,forgets,norway22159,0.023077993859673736
Inheritance,forgets,norway22161,0.019212942657386066
Inheritance,forgets,norway22165,0.020151226930162344
Inheritance,forgets,norway22167,0.01954646661174748
Inheritance,forgets,norway22168,0.0109873582982027
Inheritance,forgets,norway22172,0.02085157815778074
Inheritance,forgets,norway22173,0.013676836015243153
Inheritance,forgets,norway22178,0.021463766203591552
Inheritance,forgets,norway22179,0.017038972943788575
Inheritance,forgets,norway22182,0.01992068297172132
ArrayLists,prior,default,0.5710675036445203
ArrayLists,learns,norway22103,0.13969626345071837
ArrayLists,learns,norway22113,0.29181024131741334
ArrayLists,learns,norway22115,0.26235715076210986
ArrayLists,learns,norway22117,0.13969626345071837
