skill,param,class,value
Variables and Operations,prior,default,0.08468192546126244
Variables and Operations,learns,default,0.002057401810251134
Variables and Operations,guesses,OBJ2000,0.13249044589382092
Variables and Operations,guesses,OBJ2100,0.15587794496940593
Variables and Operations,slips,OBJ2000,0.29539493197816447
Variables and Operations,slips,OBJ2100,0.3622008073164609
Variables and Operations,forgets,default,0.0
Strings,prior,default,0.05998356557131836
Strings,learns,default,0.07180981258658828
Strings,guesses,OBJ2000,0.1731529978932022
Strings,guesses,OBJ2100,0.19695969312381276
Strings,slips,OBJ2000,0.3227351722593371
Strings,slips,OBJ2100,0.4128037362803463
Strings,forgets,default,0.0
If-Else,prior,default,0.48797304593475116
If-Else,learns,default,0.024761926348742337
If-Else,guesses,OBJ2000,0.22676458781876316
If-Else,guesses,OBJ2100,0.24758509583806526
If-Else,slips,OBJ2000,0.2924390530397253
If-Else,slips,OBJ2100,0.43015310316435995
If-Else,forgets,default,0.0
Arrays,prior,default,0.3667147476322087
Arrays,learns,default,0.08012737803949506
Arrays,guesses,OBJ2000,0.6706254703353244
Arrays,guesses,OBJ2100,0.6463616141948372
Arrays,slips,OBJ2000,0.9995376960593881
Arrays,slips,OBJ2100,0.9798132779717454
Arrays,forgets,default,0.0
While Loops,prior,default,0.011386139946864233
While Loops,learns,default,0.007122810694688876
While Loops,guesses,OBJ2000,0.5467326789676219
While Loops,guesses,OBJ2100,0.21880053508977315
While Loops,slips,OBJ2000,0.40161424212931557
While Loops,slips,OBJ2100,0.648672296687833
While Loops,forgets,default,0.0
Boolean Expressions,prior,default,0.1460074713860245
Boolean Expressions,learns,default,0.005313929071870653
Boolean Expressions,guesses,OBJ2000,0.6869360900712422
Boolean Expressions,guesses,OBJ2100,0.4357870014246014
Boolean Expressions,slips,OBJ2000,0.2546175167508756
Boolean Expressions,slips,OBJ2100,0.4491148311503385
Boolean Expressions,forgets,default,0.0
Objects and Classes,prior,default,3.3350101703861125e-07
Objects and Classes,learns,default,0.022737128336216918
Objects and Classes,guesses,OBJ2000,0.10343934594915785
Objects and Classes,guesses,OBJ2100,0.12854894095116406
Objects and Classes,slips,OBJ2000,0.00012640727485811086
Objects and Classes,slips,OBJ2100,0.011295874642428934
Objects and Classes,forgets,default,0.0
For Loops,prior,default,0.541966316469664
For Loops,learns,default,0.1266059295929628
For Loops,guesses,OBJ2000,0.26225968251762705
For Loops,guesses,OBJ2100,0.3305517959269727
For Loops,slips,OBJ2000,0.5158145576776199
For Loops,slips,OBJ2100,0.37290057370173024
For Loops,forgets,default,0.0
Nested Loops,prior,default,0.2438492545067912
Nested Loops,learns,default,0.10185539490632298
Nested Loops,guesses,OBJ2000,0.12415385348671892
Nested Loops,guesses,OBJ2100,0.16656537905333751
Nested Loops,slips,OBJ2000,0.035613433332206346
Nested Loops,slips,OBJ2100,0.1725632878430407
Nested Loops,forgets,default,0.0
Inheritance,prior,default,0.17506398491712283
Inheritance,learns,default,0.23165864960301044
Inheritance,guesses,OBJ2000,0.0
Inheritance,guesses,OBJ2100,0.16381353233896057
Inheritance,slips,OBJ2000,1.0
Inheritance,slips,OBJ2100,0.7901498242452967
Inheritance,forgets,default,0.0
ArrayLists,prior,default,0.750655395989085
ArrayLists,learns,default,0.3606507466311309
ArrayLists,guesses,OBJ2000,0.0
ArrayLists,guesses,OBJ2100,0.12500000000000006
ArrayLists,slips,OBJ2000,1.0
ArrayLists,slips,OBJ2100,0.875
ArrayLists,forgets,default,0.0
Two-Dimensional Arrays,prior,default,0.5936689351944457
Two-Dimensional Arrays,learns,default,0.4684913684315261
Two-Dimensional Arrays,guesses,OBJ2000,0.9986332418071742
Two-Dimensional Arrays,guesses,OBJ2100,0.9674905493964434
Two-Dimensional Arrays,slips,OBJ2000,0.9554010918145197
Two-Dimensional Arrays,slips,OBJ2100,0.8582728632822152
Two-Dimensional Arrays,forgets,default,0.0
Exception handling,prior,default,0.14164166592917685
Exception handling,learns,default,0.013775493484666805
Exception handling,guesses,OBJ2000,0.0
Exception handling,guesses,OBJ2100,0.1588159020733782
Exception handling,slips,OBJ2000,1.0
Exception handling,slips,OBJ2100,0.8474667551655245
Exception handling,forgets,default,0.0
File processing,prior,default,0.11349507121694889
File processing,learns,default,0.28095640375175135
File processing,guesses,OBJ2000,0.0
File processing,guesses,OBJ2100,0.28365623743545954
File processing,slips,OBJ2000,1.0
File processing,slips,OBJ2100,0.6476810566882012
File processing,forgets,default,0.0
