skill,param,class,value
Variables and Operations,prior,default,0.2354647025535392
Variables and Operations,learns,default,0.024721527716377773
Variables and Operations,guesses,norway22101,0.0
Variables and Operations,guesses,norway22102,0.194933524917717
Variables and Operations,guesses,norway22103,0.0
Variables and Operations,guesses,norway22104,0.2823592459784447
Variables and Operations,guesses,norway22105,0.1538055188582256
Variables and Operations,guesses,norway22107,0.7070434365195374
Variables and Operations,guesses,norway22109,0.0
Variables and Operations,guesses,norway22110,0.0
Variables and Operations,guesses,norway22112,0.0
Variables and Operations,guesses,norway22113,0.15000321146084009
Variables and Operations,guesses,norway22114,0.7249656960683133
Variables and Operations,guesses,norway22115,0.0
Variables and Operations,guesses,norway22116,0.0
Variables and Operations,guesses,norway22117,0.139151044622237
Variables and Operations,guesses,norway22118,0.43200913258785073
Variables and Operations,guesses,norway22120,0.0
Variables and Operations,guesses,norway22121,0.0
Variables and Operations,guesses,norway22125,0.0
Variables and Operations,guesses,norway22126,0.0
Variables and Operations,guesses,norway22127,0.49374226771990354
Variables and Operations,guesses,norway22128,0.0
Variables and Operations,guesses,norway22130,0.27865093742876984
Variables and Operations,guesses,norway22131,0.0
Variables and Operations,guesses,norway22132,0.0
Variables and Operations,guesses,norway22133,0.0
Variables and Operations,guesses,norway22135,0.28951653707407105
Variables and Operations,guesses,norway22137,0.19011447037861243
Variables and Operations,guesses,norway22139,0.0
Variables and Operations,guesses,norway22140,0.15000321146084009
Variables and Operations,guesses,norway22141,1.0
Variables and Operations,guesses,norway22142,0.6749750677166063
Variables and Operations,guesses,norway22144,0.15000321146084009
Variables and Operations,guesses,norway22145,0.4215102906006817
Variables and Operations,guesses,norway22147,0.0
Variables and Operations,guesses,norway22148,0.3417113471278137
Variables and Operations,guesses,norway22149,0.16861167567716295
Variables and Operations,guesses,norway22150,0.14629490291116523
Variables and Operations,guesses,norway22151,0.14629490291116523
Variables and Operations,guesses,norway22152,0.26806705273345
Variables and Operations,guesses,norway22153,0.0
Variables and Operations,guesses,norway22155,0.2964837882723076
Variables and Operations,guesses,norway22156,0.2406926877787855
Variables and Operations,guesses,norway22157,0.13571101821584547
Variables and Operations,guesses,norway22158,0.139151044622237
Variables and Operations,guesses,norway22160,0.0
Variables and Operations,guesses,norway22161,0.0
Variables and Operations,guesses,norway22165,0.4178019820510069
Variables and Operations,guesses,norway22166,0.5784897093993183
Variables and Operations,guesses,norway22167,0.0
Variables and Operations,guesses,norway22168,1.0
Variables and Operations,guesses,norway22172,1.0
Variables and Operations,guesses,norway22173,0.0
Variables and Operations,guesses,norway22176,0.13571101821584547
Variables and Operations,guesses,norway22178,0.15000321146084009
Variables and Operations,guesses,norway22179,0.0
Variables and Operations,guesses,norway22181,0.16861167567716295
Variables and Operations,guesses,norway22182,0.1998747336863477
Variables and Operations,slips,norway22101,1.0
Variables and Operations,slips,norway22102,0.7864631645326847
Variables and Operations,slips,norway22103,1.0
Variables and Operations,slips,norway22104,0.7060671340325012
Variables and Operations,slips,norway22105,0.8839622434666655
Variables and Operations,slips,norway22107,0.26797344038195353
Variables and Operations,slips,norway22109,1.0
Variables and Operations,slips,norway22110,1.0
Variables and Operations,slips,norway22112,1.0
Variables and Operations,slips,norway22113,0.8746480263624785
Variables and Operations,slips,norway22114,0.31187620756739287
Variables and Operations,slips,norway22115,1.0
Variables and Operations,slips,norway22116,1.0
Variables and Operations,slips,norway22117,0.8480643161513808
Variables and Operations,slips,norway22118,0.5798496479493465
Variables and Operations,slips,norway22120,1.0
Variables and Operations,slips,norway22121,1.0
Variables and Operations,slips,norway22125,1.0
Variables and Operations,slips,norway22126,1.0
Variables and Operations,slips,norway22127,0.4807070974030368
Variables and Operations,slips,norway22128,1.0
Variables and Operations,slips,norway22130,0.6969831786046116
Variables and Operations,slips,norway22131,1.0
Variables and Operations,slips,norway22132,1.0
Variables and Operations,slips,norway22133,1.0
Variables and Operations,slips,norway22135,0.7235997941189447
Variables and Operations,slips,norway22137,0.7735873983748688
Variables and Operations,slips,norway22139,1.0
Variables and Operations,slips,norway22140,0.8746480263624785
Variables and Operations,slips,norway22141,0.0
Variables and Operations,slips,norway22142,0.35770822391053514
Variables and Operations,slips,norway22144,0.8746480263624785
Variables and Operations,slips,norway22145,0.5541314501838822
Variables and Operations,slips,norway22147,1.0
Variables and Operations,slips,norway22148,0.6912457846301922
Variables and Operations,slips,norway22149,0.8383054613188339
Variables and Operations,slips,norway22150,0.8655640709345889
Variables and Operations,slips,norway22151,0.8655640709345889
Variables and Operations,slips,norway22152,0.671056658322302
Variables and Operations,slips,norway22153,1.0
Variables and Operations,slips,norway22155,0.7406669282292497
Variables and Operations,slips,norway22156,0.7239654680054154
Variables and Operations,slips,norway22157,0.8396375506522791
Variables and Operations,slips,norway22158,0.8480643161513808
Variables and Operations,slips,norway22160,1.0
Variables and Operations,slips,norway22161,1.0
Variables and Operations,slips,norway22165,0.5450474947559926
Variables and Operations,slips,norway22166,0.44586854981611773
Variables and Operations,slips,norway22167,1.0
Variables and Operations,slips,norway22168,0.0
Variables and Operations,slips,norway22172,0.0
Variables and Operations,slips,norway22173,1.0
Variables and Operations,slips,norway22176,0.8396375506522791
Variables and Operations,slips,norway22178,0.8746480263624785
Variables and Operations,slips,norway22179,1.0
Variables and Operations,slips,norway22181,0.8383054613188339
Variables and Operations,slips,norway22182,0.7996653078422435
Variables and Operations,forgets,default,0.0
Strings,prior,default,0.10893489536702164
Strings,learns,default,0.16494249839793573
Strings,guesses,norway22101,0.0
Strings,guesses,norway22104,0.497573923391272
Strings,guesses,norway22107,0.5134264062236561
Strings,guesses,norway22113,0.19214094082524938
Strings,guesses,norway22114,0.497573923391272
Strings,guesses,norway22115,0.0
Strings,guesses,norway22116,0.0
Strings,guesses,norway22117,0.3054329825660226
Strings,guesses,norway22118,0.0
Strings,guesses,norway22126,0.32975224314115564
Strings,guesses,norway22127,0.32975224314115564
Strings,guesses,norway22128,0.3419773426077251
