skill,param,class,value
Variables and Operations,prior,default,0.5036593700209162
Variables and Operations,learns,norway22101,5.4368584501614086e-05
Variables and Operations,learns,norway22102,6.585842649692574e-05
Variables and Operations,learns,norway22103,7.031501964640094e-05
Variables and Operations,learns,norway22104,6.363481282951573e-05
Variables and Operations,learns,norway22105,5.243773798208107e-05
Variables and Operations,learns,norway22107,0.00010341185855941547
Variables and Operations,learns,norway22108,6.022023867386803e-05
Variables and Operations,learns,norway22109,5.910103327179885e-05
Variables and Operations,learns,norway22110,5.484492113069404e-05
Variables and Operations,learns,norway22112,5.9748600105772974e-05
Variables and Operations,learns,norway22113,6.85447864201822e-05
Variables and Operations,learns,norway22114,7.634565257404042e-05
Variables and Operations,learns,norway22115,9.369630934019604e-05
Variables and Operations,learns,norway22116,7.490005907535362e-05
Variables and Operations,learns,norway22117,5.138731715159892e-05
Variables and Operations,learns,norway22118,8.252276365102734e-05
Variables and Operations,learns,norway22120,8.035013258299462e-05
Variables and Operations,learns,norway22121,6.165056361514207e-05
Variables and Operations,learns,norway22125,9.544168237782564e-05
Variables and Operations,learns,norway22126,7.814804263161965e-05
Variables and Operations,learns,norway22127,8.014334662488722e-05
Variables and Operations,learns,norway22128,7.65219301882311e-05
Variables and Operations,learns,norway22130,7.580149247039032e-05
Variables and Operations,learns,norway22131,6.233788881759678e-05
Variables and Operations,learns,norway22132,6.128671014443072e-05
Variables and Operations,learns,norway22133,7.24806510601143e-05
Variables and Operations,learns,norway22134,6.977295172222167e-05
Variables and Operations,learns,norway22135,4.493412136061724e-05
Variables and Operations,learns,norway22137,5.339405745362853e-05
Variables and Operations,learns,norway22139,8.187340340254857e-05
Variables and Operations,learns,norway22140,8.160993396185506e-05
Variables and Operations,learns,norway22141,9.152372109478992e-05
Variables and Operations,learns,norway22142,6.668352346933438e-05
Variables and Operations,learns,norway22144,3.623066087321016e-05
Variables and Operations,learns,norway22145,9.739562008316961e-05
Variables and Operations,learns,norway22147,6.1353407749125e-05
Variables and Operations,learns,norway22148,7.565175723597902e-05
Variables and Operations,learns,norway22149,5.033095009480616e-05
Variables and Operations,learns,norway22150,5.706832585759125e-05
Variables and Operations,learns,norway22151,5.4503501145786534e-05
Variables and Operations,learns,norway22152,8.897040470425231e-05
Variables and Operations,learns,norway22153,5.917883193139403e-05
Variables and Operations,learns,norway22155,6.498127479970054e-05
Variables and Operations,learns,norway22156,9.664981554074976e-05
Variables and Operations,learns,norway22157,6.986746590544668e-05
Variables and Operations,learns,norway22158,6.228803479288314e-05
Variables and Operations,learns,norway22160,6.53499140714184e-05
Variables and Operations,learns,norway22161,6.128671014443072e-05
Variables and Operations,learns,norway22165,8.927240326954071e-05
Variables and Operations,learns,norway22166,6.659139207192769e-05
Variables and Operations,learns,norway22167,6.582224538306813e-05
Variables and Operations,learns,norway22168,6.959892331405848e-05
Variables and Operations,learns,norway22172,6.959892331405848e-05
Variables and Operations,learns,norway22173,6.811086598186683e-05
Variables and Operations,learns,norway22175,8.488713533294666e-05
Variables and Operations,learns,norway22176,5.753174596912823e-05
Variables and Operations,learns,norway22178,9.559450606865043e-05
Variables and Operations,learns,norway22179,6.349761381651226e-05
Variables and Operations,learns,norway22181,6.313021857670777e-05
Variables and Operations,learns,norway22182,8.466140581680674e-05
Variables and Operations,guesses,BmiCalculator2,0.24207963097089827
Variables and Operations,guesses,DisplayTime2,0.038128670521280224
Variables and Operations,guesses,FahrenheitToCelsius,0.17728155777150814
Variables and Operations,guesses,JDecInc2,0.19647078962841338
Variables and Operations,guesses,JDecInc3,0.2009366628754377
Variables and Operations,guesses,PythagoreanTheorem2,0.17785757590690063
Variables and Operations,guesses,VendingMachine2,0.18699512494653242
Variables and Operations,guesses,compute_average,0.21259765886269566
Variables and Operations,guesses,days_to_week_conversion,0.4151866668546119
Variables and Operations,guesses,percentage_correctness,0.13030811487797253
Variables and Operations,guesses,rectangle_perimeter,0.4072240859389784
Variables and Operations,guesses,second_in_days,0.2792399573898412
Variables and Operations,slips,BmiCalculator2,0.7419325012578658
Variables and Operations,slips,DisplayTime2,0.9402127849405929
Variables and Operations,slips,FahrenheitToCelsius,0.802112703051011
Variables and Operations,slips,JDecInc2,0.7618000041140268
Variables and Operations,slips,JDecInc3,0.7427014513189193
Variables and Operations,slips,PythagoreanTheorem2,0.7774426546828951
Variables and Operations,slips,VendingMachine2,0.7583378031007701
Variables and Operations,slips,compute_average,0.6714199106791224
Variables and Operations,slips,days_to_week_conversion,0.4223462762323308
Variables and Operations,slips,percentage_correctness,0.7782978312998522
Variables and Operations,slips,rectangle_perimeter,0.5066198481149947
Variables and Operations,slips,second_in_days,0.6433479491319213
Variables and Operations,forgets,norway22101,0.0
