skill,param,class,value
Variables and Operations,prior,default,0.8826008607325949
Variables and Operations,learns,norway22101,1.343395405988723e-05
Variables and Operations,learns,norway22102,2.755995524174559e-05
Variables and Operations,learns,norway22103,6.388983122682084e-05
Variables and Operations,learns,norway22104,4.965825496209069e-05
Variables and Operations,learns,norway22105,1.22619255246699e-05
Variables and Operations,learns,norway22107,0.0006550982125728831
Variables and Operations,learns,norway22108,1.7643184180339708e-05
Variables and Operations,learns,norway22109,1.663160170462869e-05
Variables and Operations,learns,norway22110,4.2858152432294043e-05
Variables and Operations,learns,norway22112,1.723193990909324e-05
Variables and Operations,learns,norway22113,6.551813223342963e-05
Variables and Operations,learns,norway22114,6.877403243735084e-05
Variables and Operations,learns,norway22115,0.000212879478626175
Variables and Operations,learns,norway22116,6.196122005885746e-05
Variables and Operations,learns,norway22117,2.2991936962757778e-05
Variables and Operations,learns,norway22118,0.00017918814461350367
Variables and Operations,learns,norway22120,8.116897356955342e-05
Variables and Operations,learns,norway22121,1.8831141223030997e-05
Variables and Operations,learns,norway22125,0.00022446502095059545
Variables and Operations,learns,norway22126,9.106894674679683e-05
Variables and Operations,learns,norway22127,9.681848561554161e-05
Variables and Operations,learns,norway22128,7.467721919462528e-05
Variables and Operations,learns,norway22130,9.09439638676835e-05
Variables and Operations,learns,norway22131,1.934704031608762e-05
Variables and Operations,learns,norway22132,1.852007287421251e-05
Variables and Operations,learns,norway22133,6.729836488062094e-05
Variables and Operations,learns,norway22134,4.6755965676353655e-05
Variables and Operations,learns,norway22135,2.286650859452778e-05
Variables and Operations,learns,norway22137,1.757250131475247e-05
Variables and Operations,learns,norway22139,8.588063288645705e-05
Variables and Operations,learns,norway22140,8.876076902837734e-05
Variables and Operations,learns,norway22141,0.00018148744604264152
Variables and Operations,learns,norway22142,2.6389141162652606e-05
Variables and Operations,learns,norway22144,9.93668609856636e-06
Variables and Operations,learns,norway22145,0.00031230239656760664
Variables and Operations,learns,norway22147,2.3172813063069367e-05
Variables and Operations,learns,norway22148,8.537201759486058e-05
Variables and Operations,learns,norway22149,1.123036154934331e-05
Variables and Operations,learns,norway22150,3.9270508159737944e-05
Variables and Operations,learns,norway22151,2.0939663282849547e-05
Variables and Operations,learns,norway22152,0.00024736793955290755
Variables and Operations,learns,norway22153,1.6823693869966666e-05
Variables and Operations,learns,norway22155,5.451590229174441e-05
Variables and Operations,learns,norway22156,0.0002801404351174025
Variables and Operations,learns,norway22157,5.976641997420033e-05
Variables and Operations,learns,norway22158,4.35516670503646e-05
Variables and Operations,learns,norway22160,4.549159769287402e-05
Variables and Operations,learns,norway22161,1.852007287421251e-05
Variables and Operations,learns,norway22165,0.00027857993696216453
Variables and Operations,learns,norway22166,8.16832096319323e-05
Variables and Operations,learns,norway22167,4.474254352956673e-05
Variables and Operations,learns,norway22168,3.143878325492465e-05
Variables and Operations,learns,norway22172,3.143878325492465e-05
Variables and Operations,learns,norway22173,4.8772427149456485e-05
Variables and Operations,learns,norway22175,0.00013594612106875036
Variables and Operations,learns,norway22176,4.789436253414405e-05
Variables and Operations,learns,norway22178,0.0002316434057336571
Variables and Operations,learns,norway22179,2.046512717062924e-05
Variables and Operations,learns,norway22181,2.2177126619925744e-05
Variables and Operations,learns,norway22182,0.00010453139846044394
Variables and Operations,guesses,Challenges,0.11648788819768956
Variables and Operations,guesses,Coding,0.12077416534104499
Variables and Operations,slips,Challenges,0.7959795307446959
Variables and Operations,slips,Coding,0.6620232407975564
Variables and Operations,forgets,norway22101,0.0
Variables and Operations,forgets,norway22102,0.0
Variables and Operations,forgets,norway22103,0.0
Variables and Operations,forgets,norway22104,0.0
Variables and Operations,forgets,norway22105,0.0
Variables and Operations,forgets,norway22107,0.0
Variables and Operations,forgets,norway22108,0.0
Variables and Operations,forgets,norway22109,0.0
Variables and Operations,forgets,norway22110,0.0
Variables and Operations,forgets,norway22112,0.0
Variables and Operations,forgets,norway22113,0.0
Variables and Operations,forgets,norway22114,0.0
Variables and Operations,forgets,norway22115,0.0
Variables and Operations,forgets,norway22116,0.0
Variables and Operations,forgets,norway22117,0.0
Variables and Operations,forgets,norway22118,0.0
Variables and Operations,forgets,norway22120,0.0
Variables and Operations,forgets,norway22121,0.0
Variables and Operations,forgets,norway22125,0.0
Variables and Operations,forgets,norway22126,0.0
Variables and Operations,forgets,norway22127,0.0
Variables and Operations,forgets,norway22128,0.0
Variables and Operations,forgets,norway22130,0.0
Variables and Operations,forgets,norway22131,0.0
Variables and Operations,forgets,norway22132,0.0
Variables and Operations,forgets,norway22133,0.0
Variables and Operations,forgets,norway22134,0.0
Variables and Operations,forgets,norway22135,0.0
Variables and Operations,forgets,norway22137,0.0
Variables and Operations,forgets,norway22139,0.0
Variables and Operations,forgets,norway22140,0.0
Variables and Operations,forgets,norway22141,0.0
Variables and Operations,forgets,norway22142,0.0
Variables and Operations,forgets,norway22144,0.0
Variables and Operations,forgets,norway22145,0.0
Variables and Operations,forgets,norway22147,0.0
Variables and Operations,forgets,norway22148,0.0
Variables and Operations,forgets,norway22149,0.0
Variables and Operations,forgets,norway22150,0.0
Variables and Operations,forgets,norway22151,0.0
Variables and Operations,forgets,norway22152,0.0
Variables and Operations,forgets,norway22153,0.0
Variables and Operations,forgets,norway22155,0.0
Variables and Operations,forgets,norway22156,0.0
Variables and Operations,forgets,norway22157,0.0
Variables and Operations,forgets,norway22158,0.0
Variables and Operations,forgets,norway22160,0.0
Variables and Operations,forgets,norway22161,0.0
Variables and Operations,forgets,norway22165,0.0
Variables and Operations,forgets,norway22166,0.0
Variables and Operations,forgets,norway22167,0.0
Variables and Operations,forgets,norway22168,0.0
Variables and Operations,forgets,norway22172,0.0
Variables and Operations,forgets,norway22173,0.0
Variables and Operations,forgets,norway22175,0.0
Variables and Operations,forgets,norway22176,0.0
Variables and Operations,forgets,norway22178,0.0
Variables and Operations,forgets,norway22179,0.0
Variables and Operations,forgets,norway22181,0.0
Variables and Operations,forgets,norway22182,0.0
Strings,prior,default,0.3645246473387822
Strings,learns,norway22101,0.0009083481274519472
Strings,learns,norway22104,0.0004402245516060021
Strings,learns,norway22105,0.0029122601432588044
Strings,learns,norway22107,0.0016086551003730624
Strings,learns,norway22108,0.000829040737936875
Strings,learns,norway22109,0.0006781888255900113
Strings,learns,norway22113,0.00037789168485205966
Strings,learns,norway22114,0.0029728974089404604
Strings,learns,norway22115,0.006178715895309367
Strings,learns,norway22116,0.0021420455967829594
Strings,learns,norway22117,0.00023887608001792965
Strings,learns,norway22118,0.000635559563924578
Strings,learns,norway22121,0.0011210303591030184
Strings,learns,norway22126,0.0077832878115516365
Strings,learns,norway22127,0.0035197382927301076
Strings,learns,norway22128,0.0011068794570371352
Strings,learns,norway22130,0.0009813639804313059
Strings,learns,norway22131,0.0026225599339519405
Strings,learns,norway22132,0.0004141012166097497
Strings,learns,norway22133,0.0031077083427074282
Strings,learns,norway22135,0.0004939666982594973
Strings,learns,norway22137,0.0014547609657961128
Strings,learns,norway22138,0.0007065485546412869
Strings,learns,norway22139,0.003625070990202778
Strings,learns,norway22140,0.003702495682207625
Strings,learns,norway22141,0.0013237107616393441
Strings,learns,norway22144,0.0005415527116340776
Strings,learns,norway22145,0.016611134510707296
Strings,learns,norway22148,0.0013181678270100506
Strings,learns,norway22149,0.0010504798322559738
Strings,learns,norway22150,0.00010550002753140988
Strings,learns,norway22152,0.008546709163743437
Strings,learns,norway22153,0.0021061445105551397
Strings,learns,norway22154,0.0012298295003585623
Strings,learns,norway22155,0.0006242676289200573
Strings,learns,norway22156,0.007054791512076964
Strings,learns,norway22157,0.0029847122529809257
Strings,learns,norway22158,0.0003230795748032433
Strings,learns,norway22159,0.0008191442624659306
Strings,learns,norway22160,0.0012165761684198645
Strings,learns,norway22162,0.0011210303591030184
Strings,learns,norway22165,0.002982403564865577
Strings,learns,norway22166,0.0006064956912477941
Strings,learns,norway22167,0.0008399774282397473
Strings,learns,norway22172,0.0016586656210070957
Strings,learns,norway22173,0.005934914618724812
Strings,learns,norway22175,0.0009592240372837316
Strings,learns,norway22178,0.006172521916436259
Strings,learns,norway22179,0.0012785291165431111
Strings,learns,norway22181,0.002521908967818227
Strings,guesses,Challenges,0.24285282918070275
Strings,guesses,Coding,0.16568708387165462
Strings,slips,Challenges,0.6431826723378262
Strings,slips,Coding,0.4787849903190051
Strings,forgets,norway22101,0.0
Strings,forgets,norway22104,0.0
Strings,forgets,norway22105,0.0
Strings,forgets,norway22107,0.0
Strings,forgets,norway22108,0.0
Strings,forgets,norway22109,0.0
Strings,forgets,norway22113,0.0
Strings,forgets,norway22114,0.0
Strings,forgets,norway22115,0.0
Strings,forgets,norway22116,0.0
Strings,forgets,norway22117,0.0
Strings,forgets,norway22118,0.0
Strings,forgets,norway22121,0.0
Strings,forgets,norway22126,0.0
Strings,forgets,norway22127,0.0
Strings,forgets,norway22128,0.0
Strings,forgets,norway22130,0.0
Strings,forgets,norway22131,0.0
Strings,forgets,norway22132,0.0
Strings,forgets,norway22133,0.0
Strings,forgets,norway22135,0.0
Strings,forgets,norway22137,0.0
Strings,forgets,norway22138,0.0
Strings,forgets,norway22139,0.0
Strings,forgets,norway22140,0.0
Strings,forgets,norway22141,0.0
Strings,forgets,norway22144,0.0
Strings,forgets,norway22145,0.0
Strings,forgets,norway22148,0.0
Strings,forgets,norway22149,0.0
Strings,forgets,norway22150,0.0
Strings,forgets,norway22152,0.0
Strings,forgets,norway22153,0.0
Strings,forgets,norway22154,0.0
Strings,forgets,norway22155,0.0
Strings,forgets,norway22156,0.0
Strings,forgets,norway22157,0.0
Strings,forgets,norway22158,0.0
Strings,forgets,norway22159,0.0
Strings,forgets,norway22160,0.0
Strings,forgets,norway22162,0.0
Strings,forgets,norway22165,0.0
Strings,forgets,norway22166,0.0
Strings,forgets,norway22167,0.0
Strings,forgets,norway22172,0.0
Strings,forgets,norway22173,0.0
Strings,forgets,norway22175,0.0
Strings,forgets,norway22178,0.0
Strings,forgets,norway22179,0.0
Strings,forgets,norway22181,0.0
Arrays,prior,default,0.03918273167573879
Arrays,learns,norway22101,0.011495757652087308
Arrays,learns,norway22105,0.005048204159090823
Arrays,learns,norway22108,0.0018813527958325468
Arrays,learns,norway22109,0.007679357147622236
Arrays,learns,norway22113,0.0013232511671467518
Arrays,learns,norway22114,0.0028782197557036143
Arrays,learns,norway22115,0.004763116788840941
Arrays,learns,norway22117,0.0023177735882260525
Arrays,learns,norway22125,0.005030749416689787
Arrays,learns,norway22126,0.09083357441156488
Arrays,learns,norway22128,0.0038573118524150535
Arrays,learns,norway22130,0.29217820260738836
Arrays,learns,norway22133,0.01879128136055306
Arrays,learns,norway22134,0.6340622864950715
Arrays,learns,norway22135,0.0016470299370091414
Arrays,learns,norway22139,0.019027442417527612
Arrays,learns,norway22141,0.248992710810408
Arrays,learns,norway22142,1.0
Arrays,learns,norway22159,0.006326425463670207
Arrays,learns,norway22160,0.010996618326394874
Arrays,learns,norway22161,0.0013370004130260319
Arrays,learns,norway22162,0.0481693072217098
Arrays,learns,norway22172,0.0013768119382134702
Arrays,learns,norway22173,0.0008618747290394283
Arrays,learns,norway22178,0.01711117629682087
Arrays,learns,norway22179,0.005048204159090823
Arrays,learns,norway22182,0.07662018914548206
Arrays,guesses,Challenges,0.22689093548809555
Arrays,guesses,Coding,0.2515252168653642
Arrays,slips,Challenges,0.2315193293725811
Arrays,slips,Coding,0.2579725519996158
Arrays,forgets,norway22101,0.0
Arrays,forgets,norway22105,0.0
Arrays,forgets,norway22108,0.0
Arrays,forgets,norway22109,0.0
Arrays,forgets,norway22113,0.0
