user_id,skill_name,type,activityId,correct,attempt_count,successRate,sequence,visited_At,completed_At,duration
norway22102,Variables and Operations,Challenges,JDecInc3,0,5,0.2,"0,0,0,0,1",2023-03-17 11:24:41.968,2023-03-17 11:27:53.242,191.274
norway22115,If-Else,Challenges,JIfElseWages2,0,7,0.14,"0,0,0,0,0,0,1",2023-03-17 11:30:40.054,2023-03-17 13:03:13.608,5553.554
norway22115,Variables and Operations,Challenges,JDecInc2,0,2,0.5,"0,1",2023-03-17 11:37:23.767,2023-03-17 11:37:51.897,28.13
norway22115,Variables and Operations,Challenges,JDecInc3,0,2,0.5,"0,1",2023-03-17 11:38:01.354,2023-03-17 11:38:11.7,10.346
norway22115,Variables and Operations,Challenges,FahrenheitToCelsius,0,3,0.33,"0,0,1",2023-03-17 11:38:11.419,2023-03-17 11:38:40.842,29.423
norway22115,Variables and Operations,Challenges,DisplayTime2,0,9,0.11,"0,0,0,0,0,0,0,0,1",2023-03-17 11:38:41.112,2023-03-17 11:40:09.02,87.908
norway22102,Variables and Operations,Challenges,FahrenheitToCelsius,0,2,0.5,"0,1",2023-03-17 11:39:04.788,2023-03-17 11:41:55.868,171.08
norway22115,Variables and Operations,Challenges,VendingMachine2,0,5,0.2,"0,0,0,0,1",2023-03-17 11:39:08.704,2023-03-17 11:40:45.56,96.856
norway22113,Variables and Operations,Challenges,JDecInc2,0,2,0.5,"0,1",2023-03-17 11:40:06.702,2023-03-17 11:40:24.064,17.362
norway22113,Variables and Operations,Challenges,JDecInc3,1,1,1,1,2023-03-17 11:40:41.087,2023-03-17 11:40:50.317,9.23
norway22115,Variables and Operations,Challenges,BmiCalculator2,0,3,0.33,"0,0,1",2023-03-17 11:40:46.249,2023-03-17 11:41:06.464,20.215
norway22113,Variables and Operations,Challenges,FahrenheitToCelsius,0,3,0.33,"0,0,1",2023-03-17 11:40:52.586,2023-03-17 11:41:16.094,23.508
norway22115,Variables and Operations,Challenges,PythagoreanTheorem2,0,4,0.25,"0,0,0,1",2023-03-17 11:41:05.486,2023-03-17 11:41:35.944,30.458
norway22115,Variables and Operations,Challenges,PythagoreanTheorem2,-1,4,0.25,"0,0,0,1",2023-03-17 11:41:05.487,2023-03-17 11:41:35.945,30.458
norway22113,Variables and Operations,Challenges,DisplayTime2,0,5,0.2,"0,0,0,0,1",2023-03-17 11:41:17.769,2023-03-17 11:42:59.226,101.457
norway22102,Variables and Operations,Challenges,DisplayTime2,0,4,0.25,"0,0,0,1",2023-03-17 11:42:06.427,2023-03-17 11:55:26.123,799.696
norway22113,Variables and Operations,Challenges,VendingMachine2,0,4,0.25,"0,0,0,1",2023-03-17 11:42:59.334,2023-03-17 11:43:25.622,26.288
norway22113,Variables and Operations,Challenges,BmiCalculator2,0,4,0.25,"0,0,0,1",2023-03-17 11:43:26.163,2023-03-17 11:43:52.788,26.625
norway22113,Variables and Operations,Challenges,PythagoreanTheorem2,0,3,0.33,"0,0,1",2023-03-17 11:43:55.22,2023-03-17 11:44:12.701,17.481
norway22113,Variables and Operations,Challenges,PythagoreanTheorem2,-1,3,0.33,"0,0,1",2023-03-17 11:43:55.23,2023-03-17 11:44:12.702,17.472
norway22115,Strings,Challenges,Initials2,0,5,0.2,"0,0,0,0,1",2023-03-17 11:45:44.349,2023-03-17 11:46:44.985,60.636
norway22115,Strings,Challenges,Initials3,0,2,0.5,"0,1",2023-03-17 11:46:45.334,2023-03-17 11:46:58.063,12.729
norway22115,Strings,Challenges,StringAddition2,0,6,0.17,"0,0,0,0,0,1",2023-03-17 11:46:57.85,2023-03-17 11:47:21.501,23.651
norway22115,Strings,Challenges,JEscapeChar2,0,4,0.25,"0,0,0,1",2023-03-17 11:47:21.904,2023-03-17 11:47:38.522,16.618
norway22115,Strings,Challenges,JEscapeChar3,0,6,0.17,"0,0,0,0,0,1",2023-03-17 11:47:39.082,2023-03-17 11:48:18.258,39.176
norway22115,Strings,Challenges,JStringEqual2,0,4,0.25,"0,0,0,1",2023-03-17 11:48:18.728,2023-03-17 11:48:50.741,32.013
norway22115,Strings,Challenges,JCharAt2,0,3,0.33,"0,0,1",2023-03-17 11:48:50.367,2023-03-17 11:49:03.105,12.738
norway22115,Strings,Challenges,JCharAt2,-1,3,0.33,"0,0,1",2023-03-17 11:48:50.368,2023-03-17 11:49:03.106,12.738
norway22115,Objects and Classes,Challenges,PointTester2,0,8,0.12,"0,0,0,0,0,0,0,1",2023-03-17 11:52:19.262,2023-03-17 11:53:02.444,43.182
norway22115,Objects and Classes,Challenges,TVTester2,0,5,0.2,"0,0,0,0,1",2023-03-17 11:53:02.553,2023-03-17 11:54:14.75,72.197
norway22115,Objects and Classes,Challenges,Transactions2,1,1,1,1,2023-03-17 11:54:13.495,2023-03-17 11:54:28.622,15.127
norway22115,Objects and Classes,Challenges,LoanTester2,0,6,0.17,"0,0,0,0,0,1",2023-03-17 11:54:28.88,2023-03-17 11:55:37.178,68.298
norway22115,Objects and Classes,Challenges,LoanTester2,-1,6,0.17,"0,0,0,0,0,1",2023-03-17 11:54:28.89,2023-03-17 11:55:37.179,68.289
norway22102,Variables and Operations,Challenges,VendingMachine2,1,1,1,1,2023-03-17 11:55:54.107,2023-03-17 11:58:18.628,144.521
norway22114,Variables and Operations,Challenges,JDecInc2,1,1,1,1,2023-03-17 12:02:58.935,2023-03-17 12:58:25.588,3326.653
norway22113,Strings,Challenges,Initials2,0,4,0.25,"0,0,0,1",2023-03-17 12:03:51.364,2023-03-17 12:04:19.947,28.583
norway22113,Strings,Challenges,Initials3,1,1,1,1,2023-03-17 12:04:20.986,2023-03-17 12:04:38.812,17.826
norway22113,Strings,Challenges,StringAddition2,0,4,0.25,"0,0,0,1",2023-03-17 12:04:39.268,2023-03-17 12:05:33.926,54.658
norway22113,Strings,Challenges,JEscapeChar2,0,2,0.5,"0,1",2023-03-17 12:05:35.664,2023-03-17 12:05:46.058,10.394
norway22113,Strings,Challenges,JEscapeChar3,0,4,0.25,"0,0,0,1",2023-03-17 12:06:06.607,2023-03-17 12:06:25.992,19.385
norway22113,Strings,Challenges,JStringEqual2,0,2,0.5,"0,1",2023-03-17 12:06:25.859,2023-03-17 12:06:39.789,13.93
norway22113,Strings,Challenges,JCharAt2,0,6,0.17,"0,0,0,0,0,1",2023-03-17 12:06:47.397,2023-03-17 12:07:16.997,29.6
