user_id,skill_name,type,activityId,correct,attempt_count,successRate,sequence,visited_At,completed_At,duration
norway22102,Variables and Operations,Challenges,JDecInc3,0,5,0.2,"0,0,0,0,1",2023-03-17 11:24:41.968,2023-03-17 11:27:53.242,
norway22115,If-Else,Challenges,JIfElseWages2,0,7,0.14,"0,0,0,0,0,0,1",2023-03-17 11:30:40.054,2023-03-17 13:03:13.608,
norway22115,Variables and Operations,Challenges,JDecInc2,0,2,0.5,"0,1",2023-03-17 11:37:23.767,2023-03-17 11:37:51.897,2
norway22115,Variables and Operations,Challenges,JDecInc3,0,2,0.5,"0,1",2023-03-17 11:38:01.354,2023-03-17 11:38:11.7,1
norway22115,Variables and Operations,Challenges,FahrenheitToCelsius,0,3,0.33,"0,0,1",2023-03-17 11:38:11.419,2023-03-17 11:38:40.842,2
norway22115,Variables and Operations,Challenges,DisplayTime2,0,9,0.11,"0,0,0,0,0,0,0,0,1",2023-03-17 11:38:41.112,2023-03-17 11:40:09.02,
norway22102,Variables and Operations,Challenges,FahrenheitToCelsius,0,2,0.5,"0,1",2023-03-17 11:39:04.788,2023-03-17 11:41:55.868,
norway22115,Variables and Operations,Challenges,VendingMachine2,0,5,0.2,"0,0,0,0,1",2023-03-17 11:39:08.704,2023-03-17 11:40:45.56,
norway22113,Variables and Operations,Challenges,JDecInc2,0,2,0.5,"0,1",2023-03-17 11:40:06.702,2023-03-17 11:40:24.064,1
norway22113,Variables and Operations,Challenges,JDecInc3,1,1,1,1,2023-03-17 11:40:41.087,2023-03-17 11:40:50.317,0
norway22115,Variables and Operations,Challenges,BmiCalculator2,0,3,0.33,"0,0,1",2023-03-17 11:40:46.249,2023-03-17 11:41:06.464,2
norway22113,Variables and Operations,Challenges,FahrenheitToCelsius,0,3,0.33,"0,0,1",2023-03-17 11:40:52.586,2023-03-17 11:41:16.094,2
