user_id,skill_name,type,activityId,correct,attempt_count,successRate,sequence,visited_At,completed_At,order_id,class
norway22116,Variables and Operations,Coding,second_in_days,0,,,,2023-03-17 11:17:25.402,,1,OBJ2100
norway22116,Variables and Operations,Coding,second_in_days,0,,,,2023-03-17 11:17:25.402,,2,OBJ2100
norway22116,Variables and Operations,Coding,second_in_days,1,,,,2023-03-17 11:17:25.402,,3,OBJ2100
norway22116,Variables and Operations,Coding,rectangle_perimeter,1,,,,2023-03-17 11:18:05.468,,4,OBJ2100
norway22102,Variables and Operations,Coding,second_in_days,0,,,,2023-03-17 11:18:49.719,,5,OBJ2000
norway22102,Variables and Operations,Coding,second_in_days,-1,,,,2023-03-17 11:18:49.720,,6,OBJ2000
norway22116,Exception handling,Challenges,JDecInc2,0,6,0.17,"0,0,0,0,0,1",2023-03-17 11:21:45.689,2023-03-17 11:27:32.394,7,OBJ2100
norway22116,Exception handling,Challenges,JDecInc2,-1,6,0.17,"0,0,0,0,0,1",2023-03-17 11:21:45.690,2023-03-17 11:27:32.395,8,OBJ2100
norway22102,Variables and Operations,Challenges,JDecInc3,0,5,0.2,"0,0,0,0,1",2023-03-17 11:24:41.968,2023-03-17 11:27:53.242,9,OBJ2000
norway22116,Variables and Operations,Challenges,JDecInc3,0,4,0.25,"0,0,0,1",2023-03-17 11:27:43.66,2023-03-17 11:28:16.458,10,OBJ2100
norway22116,Variables and Operations,Challenges,FahrenheitToCelsius,0,7,0.14,"0,0,0,0,0,0,1",2023-03-17 11:28:27.078,2023-03-17 11:29:19.355,11,OBJ2100
norway22116,Variables and Operations,Challenges,DisplayTime2,0,9,0.11,"0,0,0,0,0,0,0,0,1",2023-03-17 11:29:50,2023-03-17 11:30:41.855,12,OBJ2100
norway22115,If-Else,Challenges,JIfElseWages2,0,7,0.14,"0,0,0,0,0,0,1",2023-03-17 11:30:40.054,2023-03-17 13:03:13.608,13,OBJ2100
norway22113,Variables and Operations,Coding,second_in_days,1,,,,2023-03-17 11:33:04.718,,14,OBJ2100
norway22116,Strings,Challenges,JEscapeChar2,0,3,0.33,"0,0,1",2023-03-17 11:34:03.738,2023-03-17 11:34:22.475,15,OBJ2100
norway22113,Variables and Operations,Coding,rectangle_perimeter,0,,,,2023-03-17 11:34:15.374,,16,OBJ2100
norway22113,Variables and Operations,Coding,rectangle_perimeter,0,,,,2023-03-17 11:34:15.374,,17,OBJ2100
norway22113,Variables and Operations,Coding,rectangle_perimeter,0,,,,2023-03-17 11:34:15.374,,18,OBJ2100
norway22113,Variables and Operations,Coding,rectangle_perimeter,0,,,,2023-03-17 11:34:15.374,,19,OBJ2100
norway22113,Variables and Operations,Coding,rectangle_perimeter,0,,,,2023-03-17 11:34:15.374,,20,OBJ2100
norway22113,Variables and Operations,Coding,rectangle_perimeter,1,,,,2023-03-17 11:34:15.374,,21,OBJ2100
norway22116,Strings,Challenges,Initials2,0,3,0.33,"0,0,1",2023-03-17 11:34:57.521,2023-03-17 11:35:23.847,22,OBJ2100
norway22116,Strings,Challenges,Initials3,0,7,0.14,"0,0,0,0,0,0,1",2023-03-17 11:35:23.287,2023-03-17 11:36:04.528,23,OBJ2100
norway22113,Variables and Operations,Coding,days_to_week_conversion,0,,,,2023-03-17 11:36:02.121,,24,OBJ2100
norway22113,Variables and Operations,Coding,days_to_week_conversion,1,,,,2023-03-17 11:36:02.121,,25,OBJ2100
norway22116,Strings,Challenges,StringAddition2,0,3,0.33,"0,0,1",2023-03-17 11:36:05.198,2023-03-17 11:36:34.333,26,OBJ2100
norway22116,Strings,Challenges,JEscapeChar3,0,11,0,"0,0,0,0,0,0,0,0,0,0,0",2023-03-17 11:36:35.794,#N/A,27,OBJ2100
norway22116,Strings,Challenges,JEscapeChar3,-1,11,0,"0,0,0,0,0,0,0,0,0,0,0",2023-03-17 11:36:35.795,#N/A,28,OBJ2100
norway22113,Variables and Operations,Coding,percentage_correctness,0,,,,2023-03-17 11:37:06.375,,29,OBJ2100
norway22113,Variables and Operations,Coding,percentage_correctness,1,,,,2023-03-17 11:37:06.375,,30,OBJ2100
norway22115,Variables and Operations,Challenges,JDecInc2,0,2,0.5,"0,1",2023-03-17 11:37:23.767,2023-03-17 11:37:51.897,31,OBJ2100
norway22115,Variables and Operations,Challenges,JDecInc3,0,2,0.5,"0,1",2023-03-17 11:38:01.354,2023-03-17 11:38:11.7,32,OBJ2100
