user_id,skill_name,type,activityId,correct,visited_At,order_Id,class
norway22102,Variables and Operations,Coding,second_in_days,0,2023-03-17 11:18:49.719,5,OBJ2000
norway22127,Variables and Operations,Coding,second_in_days,1,2023-03-17 14:08:47.461,273,OBJ2000
norway22127,Variables and Operations,Coding,rectangle_perimeter,0,2023-03-17 14:11:15.15,274,OBJ2000
norway22127,Variables and Operations,Coding,rectangle_perimeter,1,2023-03-17 14:11:15.15,275,OBJ2000
norway22127,Variables and Operations,Coding,days_to_week_conversion,1,2023-03-17 14:22:22.005,276,OBJ2000
norway22127,Variables and Operations,Coding,percentage_correctness,0,2023-03-17 14:34:40.611,281,OBJ2000
norway22127,Variables and Operations,Coding,percentage_correctness,0,2023-03-17 14:34:40.611,282,OBJ2000
norway22127,Variables and Operations,Coding,percentage_correctness,1,2023-03-17 14:34:40.611,283,OBJ2000
norway22127,Variables and Operations,Coding,compute_average,0,2023-03-17 14:36:49.934,284,OBJ2000
norway22127,Variables and Operations,Coding,compute_average,1,2023-03-17 14:36:49.934,285,OBJ2000
norway22105,Variables and Operations,Coding,second_in_days,0,2023-03-17 15:23:01.056,333,OBJ2000
norway22105,Variables and Operations,Coding,second_in_days,0,2023-03-17 15:23:01.056,334,OBJ2000
norway22105,Variables and Operations,Coding,second_in_days,0,2023-03-17 15:23:01.056,335,OBJ2000
norway22105,Variables and Operations,Coding,second_in_days,0,2023-03-17 15:23:01.056,336,OBJ2000
norway22105,Variables and Operations,Coding,second_in_days,0,2023-03-17 15:23:01.056,337,OBJ2000
norway22105,Variables and Operations,Coding,second_in_days,0,2023-03-17 15:23:01.056,338,OBJ2000
norway22105,Variables and Operations,Coding,second_in_days,0,2023-03-17 15:23:01.056,339,OBJ2000
norway22127,Boolean Expressions,Coding,love6,1,2023-03-17 19:11:01.976,393,OBJ2000
norway22127,Boolean Expressions,Coding,is_special,0,2023-03-17 19:14:41.822,394,OBJ2000
norway22127,Boolean Expressions,Coding,is_special,0,2023-03-17 19:14:41.822,395,OBJ2000
norway22127,Boolean Expressions,Coding,is_special,1,2023-03-17 19:14:41.822,396,OBJ2000
norway22127,Boolean Expressions,Coding,check_start_end_character,0,2023-03-17 19:30:30.781,397,OBJ2000
norway22127,Boolean Expressions,Coding,check_start_end_character,0,2023-03-17 19:30:30.781,398,OBJ2000
norway22127,Boolean Expressions,Coding,check_start_end_character,1,2023-03-17 19:30:30.781,399,OBJ2000
norway22127,Boolean Expressions,Coding,squirrel_play,1,2023-03-17 19:38:19.407,400,OBJ2000
norway22127,If-Else,Coding,sortaSum,1,2023-03-17 19:54:53.713,401,OBJ2000
norway22127,If-Else,Coding,twoAsOne,1,2023-03-17 19:58:35.025,402,OBJ2000
norway22127,If-Else,Coding,greenTicket,1,2023-03-17 20:04:38.142,403,OBJ2000
norway22127,If-Else,Coding,in1To10,0,2023-03-17 20:23:04.247,410,OBJ2000
norway22127,If-Else,Coding,in1To10,0,2023-03-17 20:23:04.247,411,OBJ2000
norway22127,If-Else,Coding,in1To10,0,2023-03-17 20:23:04.247,412,OBJ2000
norway22108,Boolean Expressions,Coding,love6,0,2023-03-17 21:11:39.12,423,OBJ2000
norway22108,Boolean Expressions,Coding,love6,0,2023-03-17 21:11:39.12,424,OBJ2000
norway22108,Boolean Expressions,Coding,love6,0,2023-03-17 21:11:39.12,425,OBJ2000
norway22108,Boolean Expressions,Coding,love6,0,2023-03-17 21:11:39.12,426,OBJ2000
norway22108,Boolean Expressions,Coding,love6,1,2023-03-17 21:11:39.12,427,OBJ2000
norway22108,Variables and Operations,Coding,second_in_days,0,2023-03-17 21:18:28.557,428,OBJ2000
norway22108,Variables and Operations,Coding,second_in_days,0,2023-03-17 21:18:28.557,429,OBJ2000
norway22108,Variables and Operations,Coding,second_in_days,0,2023-03-17 21:18:28.557,430,OBJ2000
norway22108,Variables and Operations,Coding,second_in_days,0,2023-03-17 21:18:28.557,431,OBJ2000
norway22108,Variables and Operations,Coding,second_in_days,0,2023-03-17 21:18:28.557,432,OBJ2000
norway22108,Variables and Operations,Coding,second_in_days,0,2023-03-17 21:18:28.557,433,OBJ2000
norway22108,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_1,0,2023-03-17 21:23:40.004,434,OBJ2000
norway22108,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_1,0,2023-03-17 21:23:40.004,435,OBJ2000
norway22108,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_1,1,2023-03-17 21:23:40.004,436,OBJ2000
norway22108,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_3,0,2023-03-17 21:26:01.254,437,OBJ2000
norway22108,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_3,0,2023-03-17 21:26:01.254,438,OBJ2000
norway22108,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_3,0,2023-03-17 21:26:01.254,439,OBJ2000
norway22108,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_3,1,2023-03-17 21:26:01.254,440,OBJ2000
norway22114,Strings,Coding,first_half,0,2023-03-17 23:21:06.338,441,OBJ2000
norway22114,Strings,Coding,first_half,0,2023-03-17 23:21:06.338,442,OBJ2000
norway22114,Strings,Coding,first_half,0,2023-03-17 23:21:06.338,443,OBJ2000
norway22114,Strings,Coding,first_half,1,2023-03-17 23:21:06.338,444,OBJ2000
norway22114,Strings,Coding,non_start,0,2023-03-17 23:28:48.417,445,OBJ2000
