user_id,skill_name,type,activityId,correct,attempt_count,successRate,sequence,visited_At,completed_At,order_Id
norway22116,Variables and Operations,Challenges,JDecInc2,1,6,0.17,"0,0,0,0,0,1",2023-03-17 11:21:45.689,2023-03-17 11:27:32.394,1
norway22102,Variables and Operations,Challenges,JDecInc3,1,5,0.2,"0,0,0,0,1",2023-03-17 11:24:41.968,2023-03-17 11:27:53.242,2
norway22116,Variables and Operations,Challenges,JDecInc3,1,4,0.25,"0,0,0,1",2023-03-17 11:27:43.66,2023-03-17 11:28:16.458,3
norway22116,Variables and Operations,Challenges,FahrenheitToCelsius,1,7,0.14,"0,0,0,0,0,0,1",2023-03-17 11:28:27.078,2023-03-17 11:29:19.355,4
norway22116,Variables and Operations,Challenges,DisplayTime2,1,9,0.11,"0,0,0,0,0,0,0,0,1",2023-03-17 11:29:50,2023-03-17 11:30:41.855,5
norway22115,If-Else,Challenges,JIfElseWages2,1,7,0.14,"0,0,0,0,0,0,1",2023-03-17 11:30:40.054,2023-03-17 13:03:13.608,6
norway22116,Strings,Challenges,JEscapeChar2,1,3,0.33,"0,0,1",2023-03-17 11:34:03.738,2023-03-17 11:34:22.475,7
norway22116,Strings,Challenges,Initials2,1,3,0.33,"0,0,1",2023-03-17 11:34:57.521,2023-03-17 11:35:23.847,8
norway22116,Strings,Challenges,Initials3,1,7,0.14,"0,0,0,0,0,0,1",2023-03-17 11:35:23.287,2023-03-17 11:36:04.528,9
norway22116,Strings,Challenges,StringAddition2,1,3,0.33,"0,0,1",2023-03-17 11:36:05.198,2023-03-17 11:36:34.333,10
norway22116,Strings,Challenges,JEscapeChar3,0,11,0,"0,0,0,0,0,0,0,0,0,0,0",2023-03-17 11:36:35.794,#N/A,11
norway22115,Variables and Operations,Challenges,JDecInc2,1,2,0.5,"0,1",2023-03-17 11:37:23.767,2023-03-17 11:37:51.897,12
norway22115,Variables and Operations,Challenges,JDecInc3,1,2,0.5,"0,1",2023-03-17 11:38:01.354,2023-03-17 11:38:11.7,13
norway22115,Variables and Operations,Challenges,FahrenheitToCelsius,1,3,0.33,"0,0,1",2023-03-17 11:38:11.419,2023-03-17 11:38:40.842,14
norway22115,Variables and Operations,Challenges,DisplayTime2,1,9,0.11,"0,0,0,0,0,0,0,0,1",2023-03-17 11:38:41.112,2023-03-17 11:40:09.02,15
norway22102,Variables and Operations,Challenges,FahrenheitToCelsius,1,2,0.5,"0,1",2023-03-17 11:39:04.788,2023-03-17 11:41:55.868,16
norway22115,Variables and Operations,Challenges,VendingMachine2,1,5,0.2,"0,0,0,0,1",2023-03-17 11:39:08.704,2023-03-17 11:40:45.56,17
norway22116,Variables and Operations,Challenges,VendingMachine2,1,11,0.09,"0,0,0,0,0,0,0,0,0,0,1",2023-03-17 11:39:44.894,2023-03-17 11:41:03.037,18
norway22113,Variables and Operations,Challenges,JDecInc2,1,2,0.5,"0,1",2023-03-17 11:40:06.702,2023-03-17 11:40:24.064,19
norway22113,Variables and Operations,Challenges,JDecInc3,1,1,1,1,2023-03-17 11:40:41.087,2023-03-17 11:40:50.317,20
