user_id,skill_name,type,activityId,correct,attempt_count,successRate,sequence,order_Id,visited_At,completed_At,
norway22116,Variables and Operations,Coding,second_in_days,1,3,0.33,"0,0,1",1,2023-03-17 11:17:25.402,2023-03-17 15:38:28.188,
norway22116,Variables and Operations,Coding,rectangle_perimeter,1,1,1,1,2,2023-03-17 11:18:05.468,2023-03-17 15:39:18.695,
norway22102,Variables and Operations,Coding,second_in_days,0,2,0,0,3,2023-03-17 11:18:49.719,#N/A,
norway22113,Variables and Operations,Coding,second_in_days,1,2,1,"1,1",4,2023-03-17 11:33:04.718,2023-03-17 11:34:13.334,
norway22113,Variables and Operations,Coding,rectangle_perimeter,1,6,0.17,"0,0,0,0,0,1",5,2023-03-17 11:34:15.374,2023-03-17 11:36:00.017,
norway22113,Variables and Operations,Coding,days_to_week_conversion,1,3,0.67,"2000,1,1",6,2023-03-17 11:36:02.121,2023-03-17 11:37:05.581,
norway22113,Variables and Operations,Coding,percentage_correctness,1,13,0.23,"0,1,0,0,0,0,0,0,0,1,0,0,1",7,2023-03-17 11:37:06.375,2023-03-17 11:38:16.477,
norway22113,Variables and Operations,Coding,compute_average,1,1,1,1,8,2023-03-17 11:38:19.599,2023-03-17 11:39:02.435,
norway22115,Variables and Operations,Coding,second_in_days,1,5,0.4,"0,0,1,0,1",9,2023-03-17 11:42:32.46,2023-03-17 11:43:42.78,
norway22115,Variables and Operations,Coding,rectangle_perimeter,1,2,1,"1,1",10,2023-03-17 11:43:43.561,2023-03-17 11:44:20.32,
norway22115,Variables and Operations,Coding,days_to_week_conversion,1,2,1,"1,1",11,2023-03-17 11:44:21.24,2023-03-17 11:44:39.48,
norway22113,Strings,Coding,first_half,1,2,0.5,"0,1",12,2023-03-17 11:44:36.317,2023-03-17 11:45:41.94,
norway22115,Variables and Operations,Coding,percentage_correctness,1,5,0.8,"1,1,0,1,1",13,2023-03-17 11:44:40.346,2023-03-17 11:44:56.405,
norway22115,Variables and Operations,Coding,compute_average,1,3,1,"1,1,2001",14,2023-03-17 11:44:56.689,2023-03-17 11:45:14.2,
norway22113,Strings,Coding,non_start,1,3,0.33,"0,0,1",15,2023-03-17 11:45:46.019,2023-03-17 11:46:54.906,
norway22115,Strings,Coding,first_half,1,2,1,"1,1",16,2023-03-17 11:46:13.962,2023-03-17 11:49:32.006,
norway22113,Strings,Coding,make_out_word,1,1,1,1,17,2023-03-17 11:46:55.054,2023-03-17 11:47:29.327,
norway22113,Strings,Coding,repeat_last_char,1,4,0.25,"0,0,0,1",18,2023-03-17 11:47:29.959,2023-03-17 11:49:59.201,
norway22115,Strings,Coding,non_start,1,2,1,"1,1",19,2023-03-17 11:49:31.836,2023-03-17 11:49:54.31,
norway22115,Strings,Coding,make_out_word,1,2,1,"1,1",20,2023-03-17 11:49:54.695,2023-03-17 11:50:10.866,
norway22113,Strings,Coding,first_last_swap,1,5,0.2,"0,0,0,0,1",21,2023-03-17 11:50:00.637,2023-03-17 11:52:27.226,
norway22115,Strings,Coding,repeat_last_char,1,2,1,"1,1",22,2023-03-17 11:50:11.376,2023-03-17 11:50:26.603,
norway22115,Strings,Coding,first_last_swap,1,2,1,"1,1",23,2023-03-17 11:50:27.18,2023-03-17 11:50:41.268,
norway22115,Strings,Coding,end_characters,1,2,1,"1,1",24,2023-03-17 11:50:41.463,2023-03-17 11:51:03.446,
norway22115,Strings,Coding,is_is_substring_or_ not_is_not_substring,1,4,0.75,"0,1,1,1",25,2023-03-17 11:51:04.025,2023-03-17 11:51:36.023,
norway22113,Strings,Coding,end_characters,1,5,0.2,"0,0,0,0,1",26,2023-03-17 11:52:27.859,2023-03-17 11:55:12.024,
norway22113,Strings,Coding,is_is_substring_or_ not_is_not_substring,1,17,0.18,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1",27,2023-03-17 11:55:13.382,2023-03-17 12:03:10.191,
norway22115,Objects and Classes,Coding,object_classes_1,1,15,0.13,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1",28,2023-03-17 11:55:58.445,2023-03-17 12:14:21.099,
norway22115,Objects and Classes,Coding,object_classes_2,1,4,0.5,"0,1,0,1",29,2023-03-17 12:01:45.145,2023-03-17 12:02:55.234,
norway22115,Objects and Classes,Coding,object_classes_3,1,4,0.5,"0,1,0,1",30,2023-03-17 12:02:56.226,2023-03-17 12:04:15.032,
norway22115,Objects and Classes,Coding,object_classes_4,1,46,0.07,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1",31,2023-03-17 12:04:16.583,2023-03-19 17:07:46.298,
norway22113,Boolean Expressions,Coding,love6,1,3,0.33,"0,0,1",32,2023-03-17 12:07:41.852,2023-03-17 12:10:19.931,
norway22113,Boolean Expressions,Coding,is_special,1,7,0.14,"0,0,0,0,0,0,1",33,2023-03-17 12:10:20.996,2023-03-17 12:13:48.942,
norway22113,Boolean Expressions,Coding,check_start_end_character,1,1,1,1,34,2023-03-17 12:13:52.263,2023-03-17 12:15:18.855,
norway22115,ArrayLists,Coding,array_lst_1,1,6,0.33,"0,0,0,0,1,1",35,2023-03-17 12:15:21.726,2023-03-18 13:54:35.56,
norway22113,Boolean Expressions,Coding,squirrel_play,1,21,0.1,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1",36,2023-03-17 12:15:22.726,2023-03-17 12:17:46.577,
norway22115,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_1,1,6,0.33,"0,0,0,1,0,1",37,2023-03-17 12:16:06.241,2023-03-17 12:16:38.685,
norway22115,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,1,26,0.08,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1",38,2023-03-17 12:16:39.5,2023-03-18 14:00:58.275,
norway22113,Boolean Expressions,Coding,in_order,1,4,0.25,"0,0,0,1",39,2023-03-17 12:17:47.442,2023-03-17 12:20:13.961,
norway22115,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_3,1,2,1,"1,1",40,2023-03-17 12:23:06.065,2023-03-17 12:23:24.372,
norway22115,Inheritance,Coding,inheritance_1,1,3,0.67,"2000,1,1",41,2023-03-17 12:24:00.698,2023-03-18 11:10:34.013,
norway22115,Inheritance,Coding,inheritance_2,1,4,0.5,"0,0,1,1",42,2023-03-17 12:24:16.016,2023-03-19 16:59:47.207,
norway22113,If-Else,Coding,sortaSum,1,1,1,1,43,2023-03-17 12:28:31.371,2023-03-17 12:30:30.006,
norway22113,If-Else,Coding,twoAsOne,1,2,0.5,"0,1",44,2023-03-17 12:30:39.869,2023-03-17 12:33:00.541,
norway22126,Variables and Operations,Coding,second_in_days,1,1,1,1,45,2023-03-17 12:32:48.324,2023-03-17 12:34:29.842,
norway22113,If-Else,Coding,greenTicket,1,1,1,1,46,2023-03-17 12:33:01.2,2023-03-17 12:35:32.36,
norway22115,Boolean Expressions,Coding,love6,1,7,0.29,"0,0,0,0,1,0,1",47,2023-03-17 12:34:23.709,#N/A,
norway22126,Variables and Operations,Coding,rectangle_perimeter,1,1,1,1,48,2023-03-17 12:34:35.13,2023-03-17 12:35:25.746,
norway22113,If-Else,Coding,without2,1,14,0.07,"0,0,0,0,0,0,0,0,0,0,0,0,0,1",49,2023-03-17 12:35:33.881,2023-03-17 13:19:38.033,
norway22126,Variables and Operations,Coding,days_to_week_conversion,1,1,1,1,50,2023-03-17 12:35:44.084,2023-03-17 12:36:58.258,
norway22115,Boolean Expressions,Coding,is_special,1,7,0.29,"0,0,0,0,0,1,1",51,2023-03-17 12:38:09.694,2023-03-17 12:43:54.308,
norway22115,Boolean Expressions,Coding,check_start_end_character,1,5,0.4,"0,0,1,0,1",52,2023-03-17 12:42:39.327,2023-03-17 12:43:41.421,
norway22115,Boolean Expressions,Coding,squirrel_play,1,7,0.29,"0,0,0,1,0,0,1",53,2023-03-17 12:44:06.37,2023-03-17 12:47:10.963,
norway22126,Strings,Coding,make_out_word,1,1,1,1,54,2023-03-17 12:46:25.722,2023-03-17 13:23:55.649,
norway22115,Boolean Expressions,Coding,in_order,1,36,0.08,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1",55,2023-03-17 12:47:11.545,2023-03-17 12:50:35.603,
norway22126,Variables and Operations,Coding,percentage_correctness,1,1,1,1,56,2023-03-17 13:18:47.763,2023-03-17 13:19:23.963,
norway22126,Variables and Operations,Coding,compute_average,1,1,1,1,57,2023-03-17 13:19:24.569,2023-03-17 13:20:38.276,
norway22113,If-Else,Coding,in1To10,1,8,0.12,"0,0,0,0,0,0,0,1",58,2023-03-17 13:19:42.141,2023-03-17 13:26:09.39,
norway22126,Strings,Coding,first_half,1,1,1,1,59,2023-03-17 13:21:04.727,2023-03-17 13:22:06.076,
norway22126,Strings,Coding,non_start,1,1,1,1,60,2023-03-17 13:22:17.323,2023-03-17 13:23:02.568,
norway22126,Strings,Coding,repeat_last_char,1,1,1,1,61,2023-03-17 13:25:52.109,2023-04-03 13:54:35.795,
norway22126,Arrays,Coding,arrays_1,1,4,0.5,"0,0,1,1",62,2023-03-17 13:33:45.52,2023-03-17 14:51:52.056,
norway22126,Boolean Expressions,Coding,love6,1,1,1,1,63,2023-03-17 13:34:00.141,2023-04-05 14:33:54.793,
